0,Kp,Ki,Kd,setpoint,feedfwd

17,1.00,1.00,0.00,0.00,80

36,input,output

50,0.00,0.00

67,0.00,0.00

83,0.00,0.00

100,0.00,0.00

118,0.00,0.00

133,0.00,0.00

150,0.00,0.00

169,0.00,0.00

182,0.00,0.00

199,0.00,0.00

216,0.00,0.00

234,0.00,0.00

250,0.00,0.00

269,0.00,0.00

284,0.00,0.00

300,Processing: p 10.0

316,Change KpA and KpB to: 10.00

332,Kp,Ki,Kd,setpoint,feedfwd

351,10.00,1.00,0.00,0.00,80

369,input,output

383,Processing: i 0.0

401,Change KiA and KiB to: 0.00

417,Kp,Ki,Kd,setpoint,feedfwd

432,10.00,0.00,0.00,0.00,80

453,input,output

468,Processing: d 0.0

485,Change KdA and KdB to: 0.00

502,Kp,Ki,Kd,setpoint,feedfwd

517,10.00,0.00,0.00,0.00,80

533,input,output

550,Processing: s 3.0

567,Change setpoint to: 3.00

583,Kp,Ki,Kd,setpoint,feedfwd

600,10.00,0.00,0.00,3.00,80

618,input,output

635,0.00,0.00

651,0.00,30.00

668,0.00,30.00

685,0.00,30.00

702,0.00,30.00

718,0.00,30.00

736,0.00,30.00

752,0.00,30.00

767,0.00,30.00

785,0.00,30.00

801,0.00,30.00

818,0.00,30.00

833,0.00,30.00

849,0.00,30.00

868,0.00,30.00

883,0.00,30.00

899,0.00,30.00

918,0.00,30.00

932,0.00,30.00

949,0.00,30.00

968,0.00,30.00

982,0.00,30.00

999,0.00,30.00

1018,0.00,30.00

1033,0.00,30.00

1053,0.00,30.00

1067,0.00,30.00

1083,0.00,30.00

1100,0.00,30.00

1118,0.00,30.00

1134,0.00,30.00

1150,0.00,30.00

1169,0.00,30.00

1184,0.00,30.00

1200,0.00,30.00

1217,0.00,30.00

1233,0.00,30.00

1250,0.00,30.00

1268,0.00,30.00

1282,0.00,30.00

1301,0.00,30.00

1318,0.00,30.00

1332,0.00,30.00

1350,0.00,30.00

1369,0.00,30.00

1385,0.00,30.00

1399,0.00,30.00

1417,0.00,30.00

1432,0.00,30.00

1452,0.00,30.00

1468,0.00,30.00

1486,0.00,30.00

1501,0.00,30.00

1517,0.00,30.00

1532,0.00,30.00

1549,0.00,30.00

1568,0.00,30.00

1582,0.00,30.00

1600,0.00,30.00

1618,0.00,30.00

1635,0.00,30.00

1650,0.00,30.00

1668,0.00,30.00

1682,0.00,30.00

1699,0.00,30.00

1718,0.00,30.00

1732,0.00,30.00

1749,0.00,30.00

1768,0.00,30.00

1782,0.00,30.00

1799,0.00,30.00

1819,0.00,30.00

1833,0.00,30.00

1852,0.00,30.00

1866,0.00,30.00

1886,0.00,30.00

1900,0.00,30.00

1918,0.00,30.00

1933,0.00,30.00

1950,0.00,30.00

1969,0.00,30.00

1983,0.00,30.00

1999,0.00,30.00

2018,0.00,30.00

2032,0.00,30.00

2050,0.00,30.00

2068,0.00,30.00

2082,0.00,30.00

2101,0.00,30.00

2118,0.00,30.00

2132,0.00,30.00

2152,0.00,30.00

2168,0.00,30.00

2185,0.00,30.00

2202,0.00,30.00

2218,0.00,30.00

2234,0.00,30.00

2251,0.00,30.00

2268,0.00,30.00

2284,0.00,30.00

2300,0.00,30.00

2319,0.00,30.00

2333,0.00,30.00

2349,0.00,30.00

2368,0.00,30.00

2382,0.00,30.00

2401,0.00,30.00

2419,0.00,30.00

2433,0.00,30.00

2450,0.00,30.00

2468,0.00,30.00

2482,0.00,30.00

2499,0.00,30.00

2519,0.00,30.00

2533,0.00,30.00

2550,0.00,30.00

2569,0.00,30.00

2584,0.00,30.00

2600,0.00,30.00

2619,0.00,30.00

2636,0.00,30.00

2649,0.00,30.00

2668,0.00,30.00

2685,0.00,30.00

2699,0.00,30.00

2719,0.00,30.00

2734,0.00,30.00

2750,0.00,30.00

2769,0.00,30.00

2783,0.00,30.00

2799,0.00,30.00

2820,0.00,30.00

2832,0.00,30.00

2849,0.00,30.00

2869,0.00,30.00

2883,0.00,30.00

2902,0.00,30.00

2919,0.00,30.00

2935,0.00,30.00

2952,0.00,30.00

2965,0.00,30.00

2984,0.00,30.00

3001,0.00,30.00

3016,0.00,30.00

3036,0.00,30.00

3050,0.00,30.00

3069,0.00,30.00

3084,0.00,30.00

3100,0.00,30.00

3119,0.00,30.00

3133,0.00,30.00

3152,0.00,30.00

3169,0.00,30.00

3185,0.00,30.00

3199,0.00,30.00

3219,0.00,30.00

3234,0.00,30.00

3250,0.00,30.00

3269,0.00,30.00

3283,0.00,30.00

3299,0.00,30.00

3316,0.00,30.00

3335,0.00,30.00

3353,0.00,30.00

3368,0.00,30.00

3385,0.00,30.00

3399,0.00,30.00

3419,0.00,30.00

3433,0.00,30.00

3451,0.00,30.00

3469,0.00,30.00

3484,0.00,30.00

3500,0.00,30.00

3519,0.00,30.00

3532,0.00,30.00

3549,0.00,30.00

3566,0.00,30.00

3582,0.00,30.00

3603,0.00,30.00

3618,0.00,30.00

3633,0.00,30.00

3650,0.00,30.00

3666,0.00,30.00

3683,0.00,30.00

3700,0.00,30.00

3715,0.00,30.00

3735,0.00,30.00

3750,0.00,30.00

3769,0.00,30.00

3783,0.00,30.00

3799,0.00,30.00

3820,0.00,30.00

3835,0.00,30.00

3851,0.00,30.00

3868,0.00,30.00

3884,0.00,30.00

3901,0.00,30.00

3917,0.00,30.00

3933,0.00,30.00

3951,0.00,30.00

3969,0.00,30.00

3984,0.00,30.00

4000,0.00,30.00

4019,0.00,30.00

4033,0.00,30.00

4050,0.00,30.00

4069,0.00,30.00

4082,0.00,30.00

4102,0.00,30.00

4118,0.00,30.00

4133,0.00,30.00

4149,0.00,30.00

4169,0.00,30.00

4183,0.00,30.00

4201,0.00,30.00

4216,0.00,30.00

4232,0.00,30.00

4253,0.00,30.00

4266,0.00,30.00

4285,0.00,30.00

