0,Kp,Ki,Kd,setpoint,feedfwd

16,1.00,1.00,0.00,0.00,80

33,input,output

49,0.00,0.00

66,0.00,0.00

83,0.00,0.00

99,0.00,0.00

117,0.00,0.00

133,0.00,0.00

150,0.00,0.00

167,0.00,0.00

183,0.00,0.00

200,0.00,0.00

216,0.00,0.00

233,0.00,0.00

250,0.00,0.00

267,0.00,0.00

282,0.00,0.00

300,0.00,0.00

318,0.00,0.00

331,0.00,0.00

349,0.00,0.00

366,0.00,0.00

383,0.00,0.00

400,0.00,0.00

415,0.00,0.00

433,0.00,0.00

449,Processing: p 50.0

466,Change KpA and KpB to: 50.00

484,Kp,Ki,Kd,setpoint,feedfwd

499,50.00,1.00,0.00,0.00,80

516,input,output

533,Processing: i 0.0

549,Change KiA and KiB to: 0.00

568,Kp,Ki,Kd,setpoint,feedfwd

583,50.00,0.00,0.00,0.00,80

599,input,output

617,Processing: d 0.0

633,Change KdA and KdB to: 0.00

649,Kp,Ki,Kd,setpoint,feedfwd

666,50.00,0.00,0.00,0.00,80

683,input,output

699,Processing: s 3.0

716,Change setpoint to: 3.00

733,Kp,Ki,Kd,setpoint,feedfwd

751,50.00,0.00,0.00,3.00,80

766,input,output

783,0.00,0.00

801,0.00,150.00

816,0.00,150.00

832,0.00,150.00

851,0.00,150.00

867,0.00,150.00

882,0.00,150.00

900,0.00,150.00

918,0.00,150.00

934,0.00,150.00

949,0.00,150.00

966,0.00,150.00

982,0.00,150.00

1000,0.00,150.00

1016,0.00,150.00

1033,0.00,150.00

1051,0.00,150.00

1066,0.00,150.00

1082,0.00,150.00

1100,0.00,150.00

1116,0.00,150.00

1132,0.00,150.00

1150,0.00,150.00

1166,0.00,150.00

1184,0.00,150.00

1201,0.00,150.00

1217,0.00,150.00

1233,0.00,150.00

1250,0.00,150.00

1264,0.00,150.00

1285,0.00,150.00

1300,0.00,150.00

1316,0.00,150.00

1334,0.00,150.00

1350,0.00,150.00

1366,0.00,150.00

1383,0.00,150.00

1401,0.00,150.00

1416,0.00,150.00

1435,0.00,150.00

1449,0.00,150.00

1466,0.00,150.00

1484,0.00,150.00

1499,0.00,150.00

1516,0.00,150.00

1533,0.00,150.00

1549,0.00,150.00

1567,0.00,150.00

1583,0.00,150.00

1600,0.00,150.00

1618,0.00,150.00

1632,0.00,150.00

1649,0.00,150.00

1666,0.00,150.00

1683,0.00,150.00

1699,0.00,150.00

1715,0.00,150.00

1731,0.00,150.00

1749,0.00,150.00

1767,0.00,150.00

1783,0.00,150.00

1798,0.00,150.00

1817,0.00,150.00

1834,0.00,150.00

1850,0.00,150.00

1866,0.00,150.00

1884,0.00,150.00

1899,0.00,150.00

1917,0.00,150.00

1932,0.00,150.00

1949,0.00,150.00

1966,0.00,150.00

1984,0.00,150.00

1998,0.00,150.00

2016,0.00,150.00

2034,0.00,150.00

2050,0.00,150.00

2067,0.00,150.00

2081,0.00,150.00

2099,0.00,150.00

2116,0.00,150.00

2133,0.00,150.00

2149,0.00,150.00

2166,0.00,150.00

2183,0.00,150.00

2201,0.00,150.00

2216,0.00,150.00

2233,0.00,150.00

2249,0.00,150.00

2266,0.00,150.00

2283,0.00,150.00

2301,0.00,150.00

2317,0.00,150.00

2332,0.00,150.00

2350,0.00,150.00

2395,0.00,150.00

2409,0.00,150.00

2436,0.00,150.00

2459,0.00,150.00

2477,0.00,150.00

2496,0.00,150.00

2510,0.00,150.00

2529,0.00,150.00

2543,0.00,150.00

2560,0.00,150.00

2577,0.00,150.00

2594,0.00,150.00

2610,0.00,150.00

2627,0.00,150.00

2646,0.00,150.00

2660,0.00,150.00

2677,0.00,150.00

2695,0.00,150.00

2713,0.00,150.00

2726,0.00,150.00

2743,0.00,150.00

2760,0.00,150.00

2777,0.00,150.00

2794,0.00,150.00

2811,0.00,150.00

2827,0.00,150.00

2846,0.00,150.00

2861,0.00,150.00

2876,0.00,150.00

2894,0.00,150.00

2911,0.00,150.00

2928,0.00,150.00

2942,0.00,150.00

2960,0.00,150.00

2977,0.00,150.00

2995,0.00,150.00

3012,0.00,150.00

3028,0.00,150.00

3045,0.00,150.00

3060,0.00,150.00

3077,0.00,150.00

3095,0.00,150.00

3112,0.00,150.00

3128,0.00,150.00

3143,0.00,150.00

3161,0.00,150.00

3176,0.00,150.00

3194,0.00,150.00

3210,0.00,150.00

3230,0.00,150.00

3243,0.00,150.00

3260,0.00,150.00

3278,0.00,150.00

3294,0.00,150.00

3311,0.00,150.00

3329,0.00,150.00

3343,0.00,150.00

3362,0.00,150.00

3376,0.00,150.00

3393,0.00,150.00

3409,0.00,150.00

3430,0.00,150.00

3443,0.00,150.00

3460,0.00,150.00

3478,0.00,150.00

3493,0.00,150.00

3512,0.00,150.00

3527,0.00,150.00

3547,0.00,150.00

3559,0.00,150.00

3577,0.00,150.00

3593,0.00,150.00

3611,0.00,150.00

3627,0.00,150.00

3644,0.00,150.00

3663,1.35,150.00

3676,1.35,150.00

3696,1.35,150.00

3712,1.35,150.00

3727,1.35,150.00

3743,1.35,150.00

3760,1.35,150.00

3777,1.35,150.00

3793,1.35,82.42

3811,1.35,82.42

3828,1.35,82.42

3843,1.35,82.42

3862,1.35,82.42

3879,1.35,82.42

3893,1.35,82.42

3912,1.35,82.42

3926,1.35,82.42

3943,1.35,82.42

3959,1.35,82.42

3977,1.35,82.42

3993,1.35,82.42

4012,1.35,82.42

4027,1.35,82.42

4043,1.35,82.42

4061,1.35,82.42

4076,1.35,82.42

4094,1.35,82.42

4113,1.35,82.42

4128,1.35,82.42

4144,1.35,82.42

4160,1.35,82.42

4180,1.35,82.42

4194,1.35,82.42

4212,1.35,82.42

4229,1.35,82.42

4243,1.35,82.42

4261,1.35,82.42

4277,1.35,82.42

4293,1.35,82.42

4310,1.35,82.42

4330,1.35,82.42

4344,1.35,82.42

4362,1.35,82.42

4378,1.35,82.42

4394,1.35,82.42

4410,1.35,82.42

4427,1.35,82.42

4446,1.35,82.42

4462,1.35,82.42

4477,1.35,82.42

4493,1.35,82.42

4512,1.35,82.42

4528,1.35,82.42

4543,1.35,82.42

4560,1.35,82.42

4576,1.35,82.42

4593,1.35,82.42

4613,1.35,82.42

4630,1.35,82.42

4644,1.35,82.42

4660,1.35,82.42

4677,1.35,82.42

4696,1.35,82.42

4710,1.35,82.42

4728,1.35,82.42

4743,1.35,82.42

4762,1.35,82.42

4776,1.35,82.42

4794,1.35,82.42

4810,1.35,82.42

4827,1.35,82.42

4844,1.35,82.42

4862,1.35,82.42

4877,1.35,82.42

4893,1.35,82.42

4912,1.35,82.42

4926,1.35,82.42

4943,1.35,82.42

4960,1.35,82.42

4977,1.35,82.42

4994,1.35,82.42

5011,1.35,82.42

5027,1.35,82.42

5043,1.35,82.42

5060,1.35,82.42

5076,1.35,82.42

5096,1.35,82.42

5112,1.35,82.42

5129,1.35,82.42

5146,1.35,82.42

5161,1.35,82.42

5176,1.35,82.42

5194,1.35,82.42

5212,1.35,82.42

5228,1.35,82.42

5243,1.35,82.42

5261,1.35,82.42

5277,1.35,82.42

5293,1.35,82.42

5310,1.35,82.42

5330,1.35,82.42

5343,1.35,82.42

5362,1.35,82.42

5379,1.35,82.42

5395,1.35,82.42

5412,1.35,82.42

5427,1.35,82.42

5443,1.35,82.42

5460,1.35,82.42

5479,1.35,82.42

5494,1.35,82.42

5510,2.98,82.42

5528,2.98,82.42

5544,2.98,82.42

5560,2.98,82.42

5577,2.98,82.42

5593,2.98,82.42

5612,2.98,1.19

5626,2.98,1.19

5643,2.98,1.19

5662,2.98,1.19

5678,2.98,1.19

5695,2.98,1.19

5711,2.98,1.19

5726,2.98,1.19

5743,2.98,1.19

5760,2.98,1.19

5776,2.98,1.19

5794,2.98,1.19

5812,2.98,1.19

5827,2.98,1.19

5843,2.98,1.19

5863,2.98,1.19

5877,2.98,1.19

5897,2.98,1.19

5913,2.98,1.19

5928,2.98,1.19

5944,2.98,1.19

5960,2.98,1.19

5976,2.98,1.19

5994,2.98,1.19

6010,2.98,1.19

6027,2.98,1.19

6043,2.98,1.19

6062,2.98,1.19

6076,2.98,1.19

6094,2.98,1.19

6111,2.98,1.19

6127,2.98,1.19

6143,2.98,1.19

6162,2.98,1.19

6178,2.98,1.19

6193,2.98,1.19

6211,2.98,1.19

6227,2.98,1.19

6244,2.98,1.19

6260,2.98,1.19

6276,2.98,1.19

6297,2.98,1.19

6310,2.98,1.19

6327,2.98,1.19

6346,2.98,1.19

6361,2.98,1.19

6377,2.98,1.19

6393,2.98,1.19

6412,2.98,1.19

6426,2.98,1.19

6444,2.98,1.19

6462,2.98,1.19

6477,2.98,1.19

6494,2.98,1.19

6509,2.98,1.19

6526,2.98,1.19

6543,2.98,1.19

6563,2.98,1.19

6578,2.98,1.19

6594,2.98,1.19

6612,2.98,1.19

6628,2.98,1.19

6645,2.98,1.19

6661,2.98,1.19

6676,2.98,1.19

6694,2.98,1.19

6710,2.98,1.19

6726,2.98,1.19

6746,2.98,1.19

6760,2.98,1.19

6780,2.98,1.19

6796,2.98,1.19

6810,2.98,1.19

6826,2.98,1.19

6846,2.98,1.19

6862,2.98,1.19

6877,2.98,1.19

6893,2.98,1.19

6910,2.98,1.19

6926,2.98,1.19

6944,2.98,1.19

6963,2.98,1.19

6978,2.98,1.19

6994,2.98,1.19

7010,2.98,1.19

7027,2.98,1.19

7047,2.98,1.19

7061,2.98,1.19

7078,2.98,1.19

7093,2.98,1.19

7112,2.98,1.19

7127,2.98,1.19

7145,2.98,1.19

7160,2.98,1.19

7178,2.98,1.19

7193,2.98,1.19

7211,2.98,1.19

7227,2.98,1.19

7243,2.98,1.19

7259,2.98,1.19

7276,2.98,1.19

7296,2.98,1.19

7311,2.98,1.19

7327,2.98,1.19

7343,2.98,1.19

7361,2.98,1.19

7376,2.98,1.19

7393,2.98,1.19

7410,2.98,1.19

7427,2.98,1.19

7443,2.98,1.19

7460,2.98,1.19

7476,2.98,1.19

7497,2.98,1.19

7509,2.98,1.19

7526,2.98,1.19

7544,2.98,1.19

7560,2.98,1.19

7578,2.98,1.19

7594,2.98,1.19

7611,2.98,1.19

7628,2.98,1.19

7643,2.98,1.19

7661,2.98,1.19

7677,2.98,1.19

7693,2.98,1.19

7710,2.98,1.19

