0,Kp,Ki,Kd,setpoint,feedfwd

16,2.00,7.00,2.00,0.00,80

32,input,output

49,0.00,0.00

65,0.00,0.00

85,0.00,0.00

101,0.00,0.00

117,0.00,0.00

132,0.00,0.00

148,0.00,0.00

165,0.00,0.00

181,0.00,0.00

202,0.00,0.00

217,0.00,0.00

231,0.00,0.00

251,0.00,0.00

264,0.00,0.00

283,0.00,0.00

298,0.00,0.00

315,0.00,0.00

334,0.00,0.00

347,0.00,0.00

365,Processing: p 2.0

384,Change KpA and KpB to: 2.00

398,Kp,Ki,Kd,setpoint,feedfwd

417,2.00,7.00,2.00,0.00,80

431,input,output

450,Processing: i 7.0

466,Change KiA and KiB to: 7.00

482,Kp,Ki,Kd,setpoint,feedfwd

498,2.00,7.00,2.00,0.00,80

515,input,output

532,Processing: d 2.0

548,Change KdA and KdB to: 2.00

565,Kp,Ki,Kd,setpoint,feedfwd

584,2.00,7.00,2.00,0.00,80

597,input,output

615,Processing: s 1.5

631,Change setpoint to: 1.50

648,Kp,Ki,Kd,setpoint,feedfwd

665,2.00,7.00,2.00,1.50,80

681,input,output

698,0.00,0.00

715,0.00,3.11

732,0.00,3.11

749,0.00,3.11

763,0.00,3.11

780,0.00,3.11

799,0.00,3.11

813,0.00,3.11

834,0.00,3.11

848,0.00,3.11

864,0.00,3.11

882,0.00,3.11

899,0.00,3.11

914,0.00,3.21

931,0.00,3.21

949,0.00,3.21

965,0.00,3.21

981,0.00,3.21

999,0.00,3.21

1014,0.00,3.21

1030,0.00,3.21

1047,0.00,3.21

1065,0.00,3.21

1080,0.00,3.21

1099,0.00,3.21

1116,0.00,3.32

1131,0.00,3.32

1149,0.00,3.32

1165,0.00,3.32

1183,0.00,3.32

1197,0.00,3.32

1216,0.00,3.32

1231,0.00,3.32

1247,0.00,3.32

1263,0.00,3.32

1284,0.00,3.32

1297,0.00,3.32

1314,0.00,3.42

1331,0.00,3.42

1347,0.00,3.42

1363,0.00,3.42

1380,0.00,3.42

1400,0.00,3.42

1413,0.00,3.42

1431,0.00,3.42

1448,0.00,3.42

1464,0.00,3.42

1483,0.00,3.42

1497,0.00,3.53

1513,0.00,3.53

1533,0.00,3.53

1547,0.00,3.53

1563,0.00,3.53

1580,0.00,3.53

1597,0.00,3.53

1615,0.00,3.53

1631,0.00,3.53

1647,0.00,3.53

1666,0.00,3.53

1680,0.00,3.53

1698,0.00,3.63

1716,0.00,3.63

1732,0.00,3.63

1748,0.00,3.63

1765,0.00,3.63

1779,0.00,3.63

1797,0.00,3.63

1813,0.00,3.63

1831,0.00,3.63

1849,0.00,3.63

1862,0.00,3.63

1881,0.00,3.63

1899,0.00,3.74

1913,0.00,3.74

1929,0.00,3.74

1948,0.00,3.74

1966,0.00,3.74

1981,0.00,3.74

1998,0.00,3.74

2016,0.00,3.74

2031,0.00,3.74

2049,0.00,3.74

2062,0.00,3.74

2079,0.00,3.74

2098,0.00,3.84

2112,0.00,3.84

2131,0.00,3.84

2149,0.00,3.84

2163,0.00,3.84

2183,0.00,3.84

2198,0.00,3.84

2212,0.00,3.84

2229,0.00,3.84

2247,0.00,3.84

2263,0.00,3.84

2278,0.00,3.95

2298,0.00,3.95

2312,0.00,3.95

2328,0.00,3.95

2348,0.00,3.95

2364,0.00,3.95

2379,0.00,3.95

2397,0.00,3.95

2413,0.00,3.95

2429,0.00,3.95

2448,0.00,3.95

2461,0.00,3.95

2478,0.00,4.05

2498,0.00,4.05

2513,0.00,4.05

2528,0.00,4.05

2547,0.00,4.05

2561,0.00,4.05

2581,0.00,4.05

2597,0.00,4.05

2612,0.00,4.05

2627,0.00,4.05

2648,0.00,4.05

2664,0.00,4.05

2678,0.00,4.16

2697,0.00,4.16

2714,0.00,4.16

2728,0.00,4.16

2747,0.00,4.16

2762,0.00,4.16

2781,0.00,4.16

2797,0.00,4.16

2812,0.00,4.16

2828,0.00,4.16

2847,0.00,4.16

2863,0.00,4.16

2877,0.00,4.26

2898,0.00,4.26

2910,0.00,4.26

2929,0.00,4.26

2948,0.00,4.26

2964,0.00,4.26

2979,0.00,4.26

2997,0.00,4.26

3011,0.00,4.26

3029,0.00,4.26

3046,0.00,4.26

3062,0.00,4.37

3078,0.00,4.37

3096,0.00,4.37

3112,0.00,4.37

3129,0.00,4.37

3146,0.00,4.37

3164,0.00,4.37

3177,0.00,4.37

3196,0.00,4.37

3211,0.00,4.37

3230,0.00,4.37

3247,0.00,4.37

3261,0.00,4.47

3278,0.00,4.47

3296,0.00,4.47

3313,0.00,4.47

3331,0.00,4.47

3346,0.00,4.47

3361,0.00,4.47

3377,0.00,4.47

3397,0.00,4.47

3411,0.00,4.47

3428,0.00,4.47

3446,0.00,4.47

3461,0.00,4.58

3478,0.00,4.58

3496,0.00,4.58

3512,0.00,4.58

3529,0.00,4.58

3546,0.00,4.58

3561,0.00,4.58

3578,0.00,4.58

3597,0.00,4.58

3611,0.00,4.58

3627,0.00,4.58

3643,0.00,4.58

3660,0.00,4.68

3680,0.00,4.68

3696,0.00,4.68

3711,0.00,4.68

3726,0.00,4.68

3747,0.00,4.68

3760,0.00,4.68

3776,0.00,4.68

3793,0.00,4.68

3813,0.00,4.68

3827,0.00,4.68

3847,0.00,4.68

3860,0.00,4.79

3877,0.00,4.79

3897,0.00,4.79

3910,0.00,4.79

3929,0.00,4.79

3946,0.00,4.79

3960,0.00,4.79

3979,0.00,4.79

3994,0.00,4.79

4010,0.00,4.79

4027,0.00,4.79

4047,0.00,4.79

4060,0.00,4.89

4078,0.00,4.89

4097,0.00,4.89

4110,0.00,4.89

4129,0.00,4.89

4143,0.00,4.89

4159,0.00,4.89

4180,0.00,4.89

4192,0.00,4.89

4211,0.00,4.89

4229,0.00,4.89

4243,0.00,4.89

4259,0.00,5.00

4276,0.00,5.00

4297,0.00,5.00

4311,0.00,5.00

4327,0.00,5.00

4347,0.00,5.00

4360,0.00,5.00

4376,0.00,5.00

4396,0.00,5.00

4409,0.00,5.00

4430,0.00,5.00

4445,0.00,5.00

4459,0.00,5.10

4476,0.00,5.10

4492,0.00,5.10

4510,0.00,5.10

4530,0.00,5.10

4543,0.00,5.10

4559,0.00,5.10

4579,0.00,5.10

4592,0.00,5.10

4609,0.00,5.10

4627,0.00,5.10

4646,0.00,5.10

4659,0.00,5.10

4676,0.00,5.21

4696,0.00,5.21

4710,0.00,5.21

4726,0.00,5.21

4743,0.00,5.21

4758,0.00,5.21

4776,0.00,5.21

4794,0.00,5.21

4809,0.00,5.21

4825,0.00,5.21

4844,0.00,5.31

4859,0.00,5.31

4876,0.00,5.31

4892,0.00,5.31

4909,0.00,5.31

4926,0.00,5.31

4942,0.00,5.31

4960,0.00,5.31

4978,0.00,5.31

4994,0.00,5.31

5010,0.00,5.31

5027,0.00,5.31

5043,0.00,5.42

5059,0.00,5.42

5076,0.00,5.42

5092,0.00,5.42

5109,0.00,5.42

5127,0.00,5.42

5146,0.00,5.42

5159,0.00,5.42

5179,0.00,5.42

5195,0.00,5.42

5208,0.00,5.42

5227,0.00,5.42

5245,0.00,5.52

5260,0.00,5.52

5276,0.00,5.52

5293,0.00,5.52

5309,0.00,5.52

5325,0.00,5.52

5341,0.00,5.52

5358,0.00,5.52

5375,0.00,5.52

5392,0.00,5.52

5409,0.00,5.52

5426,0.00,5.52

5442,0.00,5.52

5458,0.00,5.63

5475,0.00,5.63

5492,0.00,5.63

5508,0.00,5.63

5525,0.00,5.63

5542,0.00,5.63

5561,0.00,5.63

5577,0.00,5.63

5592,0.00,5.63

5610,0.00,5.63

5626,0.00,5.73

5642,0.00,5.73

5658,0.00,5.73

5679,0.00,5.73

5693,0.00,5.73

5707,0.00,5.73

5725,0.00,5.73

5742,0.00,5.73

5760,0.00,5.73

5776,0.00,5.73

5795,0.00,5.73

5808,0.00,5.73

5824,0.00,5.84

5842,0.00,5.84

5858,0.00,5.84

5877,0.00,5.84

5895,0.00,5.84

5908,0.00,5.84

5925,0.00,5.84

5941,0.00,5.84

5960,0.00,5.84

5975,0.00,5.84

5992,0.00,5.84

6008,0.00,5.84

6025,0.00,5.94

6044,0.00,5.94

6057,0.00,5.94

6075,0.00,5.94

6095,0.00,5.94

6108,0.00,5.94

6125,0.00,5.94

6142,0.00,5.94

6158,0.00,5.94

6175,0.00,5.94

6191,0.00,5.94

6208,0.00,5.94

6225,0.00,5.94

6244,0.00,6.05

6258,0.00,6.05

6275,0.00,6.05

6290,0.00,6.05

6308,0.00,6.05

6325,0.00,6.05

6342,0.00,6.05

6358,0.00,6.05

6374,0.00,6.05

6394,0.00,6.05

6409,0.00,6.15

6426,0.00,6.15

6441,0.00,6.15

6459,0.00,6.15

6475,0.00,6.15

6494,0.00,6.15

6508,0.00,6.15

6524,0.00,6.15

6541,0.00,6.15

6558,0.00,6.15

6574,0.00,6.15

6594,0.00,6.15

6608,0.00,6.26

6623,0.00,6.26

6644,0.00,6.26

6657,0.00,6.26

6674,0.00,6.26

6694,0.00,6.26

6707,0.00,6.26

6724,0.00,6.26

6744,0.00,6.26

6759,0.00,6.26

6774,0.00,6.26

6790,0.00,6.26

6808,0.00,6.36

6824,0.00,6.36

6844,0.00,6.36

6857,0.00,6.36

6875,0.00,6.36

6890,0.00,6.36

6910,0.00,6.36

6924,0.00,6.36

6940,0.00,6.36

6956,0.00,6.36

6974,0.00,6.36

6990,0.00,6.36

7009,0.00,6.47

7026,0.00,6.47

7040,0.00,6.47

7059,0.00,6.47

7076,0.00,6.47

7090,0.00,6.47

7106,0.00,6.47

7123,0.00,6.47

7140,0.00,6.47

7160,0.00,6.47

7173,0.00,6.47

7193,0.00,6.57

7206,0.00,6.57

7224,0.00,6.57

7240,0.00,6.57

7256,0.00,6.57

7273,0.00,6.57

7293,0.00,6.57

7306,0.00,6.57

7324,0.00,6.57

7340,0.00,6.57

7356,0.00,6.57

7373,0.00,6.57

7393,0.00,6.68

7407,0.00,6.68

7423,0.00,6.68

7443,0.00,6.68

7456,0.00,6.68

7474,0.00,6.68

7492,0.00,6.68

7506,0.00,6.68

7526,0.00,6.68

7539,0.00,6.68

7556,0.00,6.68

7574,0.00,6.68

7590,0.00,6.78

7608,0.00,6.78

7624,0.00,6.78

7643,0.00,6.78

7656,0.00,6.78

