0,Kp,Ki,Kd,setpoint,feedfwd

15,1.00,1.00,0.00,0.00,80

32,input,output

50,0.00,0.00

68,0.00,0.00

82,0.00,0.00

100,0.00,0.00

115,0.00,0.00

135,0.00,0.00

149,0.00,0.00

167,0.00,0.00

185,0.00,0.00

198,0.00,0.00

215,0.00,0.00

232,0.00,0.00

249,0.00,0.00

268,0.00,0.00

283,0.00,0.00

299,0.00,0.00

317,0.00,0.00

333,0.00,0.00

351,0.00,0.00

367,0.00,0.00

384,0.00,0.00

399,0.00,0.00

415,0.00,0.00

432,0.00,0.00

451,0.00,0.00

468,Processing: p 100.0

481,Change KpA and KpB to: 100.00

501,Kp,Ki,Kd,setpoint,feedfwd

516,100.00,1.00,0.00,0.00,80

531,input,output

550,Processing: i 0.0

568,Change KiA and KiB to: 0.00

583,Kp,Ki,Kd,setpoint,feedfwd

600,100.00,0.00,0.00,0.00,80

616,input,output

632,Processing: d 0.0

650,Change KdA and KdB to: 0.00

665,Kp,Ki,Kd,setpoint,feedfwd

682,100.00,0.00,0.00,0.00,80

699,input,output

715,Processing: s 3.0

731,Change setpoint to: 3.00

750,Kp,Ki,Kd,setpoint,feedfwd

767,100.00,0.00,0.00,3.00,80

783,input,output

801,0.00,0.00

816,0.00,255.00

833,0.00,255.00

850,0.00,255.00

866,0.00,255.00

883,0.00,255.00

900,0.00,255.00

918,0.00,255.00

934,0.00,255.00

950,0.00,255.00

966,0.00,255.00

983,0.00,255.00

1001,0.00,255.00

1016,0.00,255.00

1034,0.00,255.00

1049,0.00,255.00

1067,0.00,255.00

1083,0.00,255.00

1099,0.00,255.00

1116,0.00,255.00

1132,0.00,255.00

1152,0.00,255.00

1166,0.00,255.00

1182,0.00,255.00

1201,0.00,255.00

1215,0.00,255.00

1232,0.00,255.00

1249,0.00,255.00

1267,0.00,255.00

1282,0.00,255.00

1299,0.00,255.00

1315,0.00,255.00

1332,0.00,255.00

1349,0.00,255.00

1366,0.00,255.00

1384,0.00,255.00

1401,0.00,255.00

1415,0.00,255.00

1433,0.00,255.00

1449,0.00,255.00

1466,0.00,255.00

1489,0.00,255.00

1501,0.00,255.00

1525,0.00,255.00

1559,0.00,255.00

1583,0.00,255.00

1603,0.00,255.00

1621,0.00,255.00

1636,0.00,255.00

1654,0.00,255.00

1670,0.00,255.00

1686,0.00,255.00

1704,0.00,255.00

1721,0.00,255.00

1739,0.00,255.00

1754,0.00,255.00

1771,0.00,255.00

1789,0.00,255.00

1806,0.00,255.00

1822,0.00,255.00

1839,0.00,255.00

1854,0.00,255.00

1874,0.00,255.00

1888,0.00,255.00

1903,0.00,255.00

1923,0.00,255.00

1939,0.00,255.00

1954,0.00,255.00

1971,0.00,255.00

1988,0.00,255.00

2004,0.00,255.00

2021,0.00,255.00

2039,0.00,255.00

2054,0.00,255.00

2071,0.00,255.00

2088,0.00,255.00

2105,0.00,255.00

2122,0.00,255.00

2137,0.00,255.00

2154,0.00,255.00

2171,0.00,255.00

2189,0.00,255.00

2205,0.00,255.00

2222,0.00,255.00

2237,0.00,255.00

2255,0.00,255.00

2273,0.00,255.00

2288,0.00,255.00

2305,0.00,255.00

2320,0.00,255.00

2337,0.00,255.00

2353,0.00,255.00

2371,0.00,255.00

2388,0.00,255.00

2405,0.00,255.00

2420,0.00,255.00

2438,0.00,255.00

2455,0.00,255.00

2472,0.00,255.00

2489,0.00,255.00

2505,0.00,255.00

2520,0.00,255.00

2538,0.00,255.00

2556,0.00,255.00

2572,0.00,255.00

2587,0.00,255.00

2604,0.00,255.00

2620,0.00,255.00

2640,0.00,255.00

2656,0.00,255.00

2672,0.00,255.00

2688,0.00,255.00

2705,0.00,255.00

2722,0.00,255.00

2738,0.00,255.00

2754,0.00,255.00

2772,0.00,255.00

2788,0.00,255.00

2804,0.00,255.00

2822,0.00,255.00

2838,0.00,255.00

2855,0.00,255.00

2870,0.00,255.00

2886,0.00,255.00

2906,0.00,255.00

2920,0.00,255.00

2938,0.00,255.00

2955,0.00,255.00

2972,0.00,255.00

2988,0.00,255.00

3005,0.00,255.00

3023,0.00,255.00

3038,0.00,255.00

3054,0.00,255.00

3070,0.00,255.00

3087,0.00,255.00

3105,0.00,255.00

3120,0.00,255.00

3137,0.00,255.00

3156,0.00,255.00

3173,0.00,255.00

3189,0.00,255.00

3205,1.54,255.00

3222,1.54,255.00

3239,1.54,255.00

3256,1.54,255.00

3272,1.54,255.00

3289,1.54,255.00

3305,1.54,255.00

3322,1.54,146.01

3338,1.54,146.01

3355,1.54,146.01

3373,1.54,146.01

3388,1.54,146.01

3405,1.54,146.01

3422,1.54,146.01

3439,1.54,146.01

3455,1.54,146.01

3470,1.54,146.01

3487,1.54,146.01

3505,1.54,146.01

3520,1.54,146.01

3540,1.54,146.01

3555,1.54,146.01

3570,1.54,146.01

3588,1.54,146.01

3605,1.54,146.01

3621,1.54,146.01

3639,1.54,146.01

3654,1.54,146.01

3673,1.54,146.01

3688,1.54,146.01

3704,1.54,146.01

3721,1.54,146.01

3739,1.54,146.01

3755,1.54,146.01

3772,1.54,146.01

3789,1.54,146.01

3805,1.54,146.01

3822,1.54,146.01

3839,1.54,146.01

3855,1.54,146.01

3872,1.54,146.01

3889,1.54,146.01

3906,1.54,146.01

3922,1.54,146.01

3939,1.54,146.01

3957,1.54,146.01

3972,1.54,146.01

3989,1.54,146.01

4005,1.54,146.01

4020,1.54,146.01

4038,1.54,146.01

4054,1.54,146.01

4070,1.54,146.01

4088,1.54,146.01

4103,1.54,146.01

4123,1.54,146.01

4138,1.54,146.01

4155,1.54,146.01

4172,1.54,146.01

4189,1.54,146.01

4205,1.54,146.01

4222,1.54,146.01

4239,1.54,146.01

4255,1.54,146.01

4273,1.54,146.01

4289,1.54,146.01

4305,1.54,146.01

4323,1.54,146.01
