0,Kp,Ki,Kd,setpoint,feedfwd

15,1.00,1.00,0.00,0.00,80

36,input,output

50,0.00,0.00

66,0.00,0.00

85,0.00,0.00

100,0.00,0.00

118,0.00,0.00

133,0.00,0.00

149,0.00,0.00

165,0.00,0.00

183,0.00,0.00

200,0.00,0.00

218,0.00,0.00

234,0.00,0.00

251,0.00,0.00

267,0.00,0.00

284,0.00,0.00

300,0.00,0.00

316,0.00,0.00

335,0.00,0.00

351,0.00,0.00

366,0.00,0.00

383,Processing: p 70.0

399,Change KpA and KpB to: 70.00

416,Kp,Ki,Kd,setpoint,feedfwd

434,70.00,1.00,0.00,0.00,80

449,input,output

465,Processing: i 0.0

484,Change KiA and KiB to: 0.00

500,Kp,Ki,Kd,setpoint,feedfwd

516,70.00,0.00,0.00,0.00,80

534,input,output

551,Processing: d 0.0

566,Change KdA and KdB to: 0.00

584,Kp,Ki,Kd,setpoint,feedfwd

599,70.00,0.00,0.00,0.00,80

616,input,output

634,Processing: s 3.0

650,Change setpoint to: 3.00

667,Kp,Ki,Kd,setpoint,feedfwd

683,70.00,0.00,0.00,3.00,80

700,input,output

717,0.00,0.00

731,0.00,210.00

749,0.00,210.00

767,0.00,210.00

783,0.00,210.00

800,0.00,210.00

818,0.00,210.00

833,0.00,210.00

849,0.00,210.00

866,0.00,210.00

884,0.00,210.00

900,0.00,210.00

918,0.00,210.00

933,0.00,210.00

949,0.00,210.00

967,0.00,210.00

984,0.00,210.00

1000,0.00,210.00

1016,0.00,210.00

1034,0.00,210.00

1049,0.00,210.00

1067,0.00,210.00

1083,0.00,210.00

1100,0.00,210.00

1116,0.00,210.00

1134,0.00,210.00

1149,0.00,210.00

1168,0.00,210.00

1183,0.00,210.00

1200,0.00,210.00

1217,0.00,210.00

1233,0.00,210.00

1249,0.00,210.00

1268,0.00,210.00

1283,0.00,210.00

1300,0.00,210.00

1317,0.00,210.00

1333,0.00,210.00

1349,0.00,210.00

1366,0.00,210.00

1385,0.00,210.00

1399,0.00,210.00

1416,0.00,210.00

1434,0.00,210.00

1450,0.00,210.00

1467,0.00,210.00

1484,0.00,210.00

1499,0.00,210.00

1518,0.00,210.00

1533,0.00,210.00

1550,0.00,210.00

1566,0.00,210.00

1584,0.00,210.00

1599,0.00,210.00

1616,0.00,210.00

1633,0.00,210.00

1649,0.00,210.00

1666,0.00,210.00

1682,0.00,210.00

1700,0.00,210.00

1716,0.00,210.00

1734,0.00,210.00

1750,0.00,210.00

1768,0.00,210.00

1784,0.00,210.00

1800,0.00,210.00

1815,0.00,210.00

1832,0.00,210.00

1849,0.00,210.00

1868,0.00,210.00

1884,0.00,210.00

1899,0.00,210.00

1916,0.00,210.00

1931,0.00,210.00

1952,0.00,210.00

1965,0.00,210.00

1985,0.00,210.00

2001,0.00,210.00

2017,0.00,210.00

2032,0.00,210.00

2049,0.00,210.00

2066,0.00,210.00

2082,0.00,210.00

2100,0.00,210.00

2116,0.00,210.00

2135,0.00,210.00

2150,0.00,210.00

2167,0.00,210.00

2183,0.00,210.00

2199,0.00,210.00

2216,0.00,210.00

2232,0.00,210.00

2248,0.00,210.00

2265,0.00,210.00

2283,0.00,210.00

2299,0.00,210.00

2316,0.00,210.00

2332,0.00,210.00

2350,0.00,210.00

2368,0.00,210.00

2384,0.00,210.00

2399,0.00,210.00

2417,0.00,210.00

2436,0.00,210.00

2449,0.00,210.00

2468,0.00,210.00

2484,0.00,210.00

2498,0.00,210.00

2518,0.00,210.00

2531,0.00,210.00

2550,0.00,210.00

2568,0.00,210.00

2584,0.00,210.00

2599,0.00,210.00

2619,0.00,210.00

2634,0.00,210.00

2648,0.00,210.00

2666,0.00,210.00

2682,0.00,210.00

2699,0.00,210.00

2717,0.00,210.00

2735,0.00,210.00

2750,0.00,210.00

2766,0.00,210.00

2784,0.00,210.00

2799,0.00,210.00

2816,0.00,210.00

2832,0.00,210.00

2851,0.00,210.00

2868,0.00,210.00

2885,0.00,210.00

2898,0.00,210.00

2919,0.00,210.00

2934,0.00,210.00

2948,0.00,210.00

2965,0.00,210.00

2984,0.00,210.00

3000,0.00,210.00

3016,0.00,210.00

3034,0.00,210.00

3048,1.60,210.00

3066,1.60,210.00

3084,1.60,210.00

3100,1.60,210.00

3118,1.60,210.00

3134,1.60,210.00

3150,1.60,210.00

3167,1.60,210.00

3182,1.60,210.00

3199,1.60,98.32

3217,1.60,98.32

3234,1.60,98.32

3250,1.60,98.32

3268,1.60,98.32

3284,1.60,98.32

3300,1.60,98.32

3315,1.60,98.32

3334,1.60,98.32

3350,1.60,98.32

3365,1.60,98.32

3384,1.60,98.32

3399,1.60,98.32

3416,1.60,98.32

3435,1.60,98.32

3450,1.60,98.32

3466,1.60,98.32

3485,1.60,98.32

3500,1.60,98.32

3517,1.60,98.32

3535,1.60,98.32

3550,1.60,98.32

3566,1.60,98.32

3585,1.60,98.32

3600,1.60,98.32

3617,1.60,98.32

3635,1.60,98.32

3649,1.60,98.32

3667,1.60,98.32

3684,1.60,98.32

3700,1.60,98.32

3716,1.60,98.32

3733,1.60,98.32

3750,1.60,98.32

3766,1.60,98.32

3782,1.60,98.32

3799,1.60,98.32

3817,1.60,98.32

3835,1.60,98.32

3849,1.60,98.32

3866,1.60,98.32

3885,1.60,98.32

3898,1.60,98.32

3916,1.60,98.32

3933,1.60,98.32

3948,1.60,98.32

3967,1.60,98.32

3985,1.60,98.32

3999,1.60,98.32

4018,1.60,98.32

4033,1.60,98.32

4050,1.60,98.32

4067,1.60,98.32

4084,1.60,98.32

4100,1.60,98.32

4115,1.60,98.32

4133,1.60,98.32

4150,1.60,98.32

4167,1.60,98.32

4183,1.60,98.32

4200,1.60,98.32

4217,1.60,98.32

4235,1.60,98.32

4249,1.60,98.32

4268,1.60,98.32

4283,1.60,98.32
