0,Kp,Ki,Kd,setpoint,feedfwd

17,1.00,1.00,0.00,0.00,80

36,input,output

54,0.00,0.00

70,0.00,0.00

87,0.00,0.00

103,0.00,0.00

120,0.00,0.00

134,0.00,0.00

153,0.00,0.00

168,0.00,0.00

185,0.00,0.00

201,0.00,0.00

217,0.00,0.00

237,0.00,0.00

254,0.00,0.00

268,0.00,0.00

284,0.00,0.00

301,0.00,0.00

318,0.00,0.00

333,0.00,0.00

354,0.00,0.00

368,0.00,0.00

384,0.00,0.00

405,Processing: p 3.0

418,Change KpA and KpB to: 3.00

435,Kp,Ki,Kd,setpoint,feedfwd

451,3.00,1.00,0.00,0.00,80

468,input,output

488,Processing: i 0.0

503,Change KiA and KiB to: 0.00

519,Kp,Ki,Kd,setpoint,feedfwd

534,3.00,0.00,0.00,0.00,80

551,input,output

571,Processing: d 0.0

586,Change KdA and KdB to: 0.00

602,Kp,Ki,Kd,setpoint,feedfwd

617,3.00,0.00,0.00,0.00,80

638,input,output

651,Processing: s 3.0

669,Change setpoint to: 3.00

684,Kp,Ki,Kd,setpoint,feedfwd

701,3.00,0.00,0.00,3.00,80

717,input,output

734,0.00,0.00

754,0.00,9.00

770,0.00,9.00

785,0.00,9.00

803,0.00,9.00

818,0.00,9.00

836,0.00,9.00

851,0.00,9.00

870,0.00,9.00

887,0.00,9.00

901,0.00,9.00

921,0.00,9.00

936,0.00,9.00

954,0.00,9.00

969,0.00,9.00

986,0.00,9.00

1003,0.00,9.00

1020,0.00,9.00

1034,0.00,9.00

1052,0.00,9.00

1071,0.00,9.00

1084,0.00,9.00

1102,0.00,9.00

1118,0.00,9.00

1135,0.00,9.00

1152,0.00,9.00

1168,0.00,9.00

1186,0.00,9.00

1201,0.00,9.00

1218,0.00,9.00

1237,0.00,9.00

1251,0.00,9.00

1268,0.00,9.00

1287,0.00,9.00

1300,0.00,9.00

1321,0.00,9.00

1336,0.00,9.00

1353,0.00,9.00

1369,0.00,9.00

1384,0.00,9.00

1401,0.00,9.00

1417,0.00,9.00

1438,0.00,9.00

1453,0.00,9.00

1471,0.00,9.00

1484,0.00,9.00

1503,0.00,9.00

1520,0.00,9.00

1534,0.00,9.00

1551,0.00,9.00

1570,0.00,9.00

1586,0.00,9.00

1600,0.00,9.00

1617,0.00,9.00

1637,0.00,9.00

1651,0.00,9.00

1667,0.00,9.00

1688,0.00,9.00

1701,0.00,9.00

1718,0.00,9.00

1734,0.00,9.00

1753,0.00,9.00

1769,0.00,9.00

1785,0.00,9.00

1801,0.00,9.00

1817,0.00,9.00

1835,0.00,9.00

1855,0.00,9.00

1868,0.00,9.00

1884,0.00,9.00

1901,0.00,9.00

1921,0.00,9.00

1937,0.00,9.00

1954,0.00,9.00

1970,0.00,9.00

1985,0.00,9.00

2001,0.00,9.00

2020,0.00,9.00

2036,0.00,9.00

2050,0.00,9.00

2067,0.00,9.00

2084,0.00,9.00

2101,0.00,9.00

2119,0.00,9.00

2135,0.00,9.00

2151,0.00,9.00

2169,0.00,9.00

2185,0.00,9.00

2201,0.00,9.00

2220,0.00,9.00

2236,0.00,9.00

2254,0.00,9.00

2268,0.00,9.00

2286,0.00,9.00

2302,0.00,9.00

2319,0.00,9.00

2334,0.00,9.00

2351,0.00,9.00

2368,0.00,9.00

2383,0.00,9.00

2400,0.00,9.00

2418,0.00,9.00

2434,0.00,9.00

2452,0.00,9.00

2468,0.00,9.00

2484,0.00,9.00

2503,0.00,9.00

2518,0.00,9.00

2537,0.00,9.00

2551,0.00,9.00

2569,0.00,9.00

2585,0.00,9.00

2601,0.00,9.00

2619,0.00,9.00

2634,0.00,9.00

2650,0.00,9.00

2667,0.00,9.00

2687,0.00,9.00

2701,0.00,9.00

2718,0.00,9.00

2733,0.00,9.00

2751,0.00,9.00

2768,0.00,9.00

2786,0.00,9.00

2802,0.00,9.00

2818,0.00,9.00

2837,0.00,9.00

2851,0.00,9.00

2867,0.00,9.00

2884,0.00,9.00

2905,0.00,9.00

2918,0.00,9.00

2933,0.00,9.00

2953,0.00,9.00

2970,0.00,9.00

2985,0.00,9.00

3002,0.00,9.00

3017,0.00,9.00

3036,0.00,9.00

3050,0.00,9.00

3071,0.00,9.00

3086,0.00,9.00

3101,0.00,9.00

3117,0.00,9.00

3134,0.00,9.00

3154,0.00,9.00

3170,0.00,9.00

3184,0.00,9.00

3200,0.00,9.00

3217,0.00,9.00

3238,0.00,9.00

3253,0.00,9.00

3269,0.00,9.00

3284,0.00,9.00

3305,0.00,9.00

3317,0.00,9.00

3337,0.00,9.00

3354,0.00,9.00

3368,0.00,9.00

3385,0.00,9.00

3400,0.00,9.00

3417,0.00,9.00

3434,0.00,9.00

3451,0.00,9.00

3471,0.00,9.00

3486,0.00,9.00

3501,0.00,9.00

3517,0.00,9.00

3537,0.00,9.00

3552,0.00,9.00

3567,0.00,9.00

3588,0.00,9.00

3601,0.00,9.00

3620,0.00,9.00

3635,0.00,9.00

3654,0.00,9.00

3668,0.00,9.00

3683,0.00,9.00

3704,0.00,9.00

3717,0.00,9.00

3737,0.00,9.00

3752,0.00,9.00

3769,0.00,9.00

3785,0.00,9.00

3801,0.00,9.00

3820,0.00,9.00

3834,0.00,9.00

3855,0.00,9.00

3870,0.00,9.00

3886,0.00,9.00

3900,0.00,9.00

3920,0.00,9.00

3935,0.00,9.00

3953,0.00,9.00

3968,0.00,9.00

3986,0.00,9.00

4000,0.00,9.00

4018,0.00,9.00

4036,0.00,9.00

4053,0.00,9.00

4068,0.00,9.00

4084,0.00,9.00

4102,0.00,9.00

4117,0.00,9.00

4137,0.00,9.00

4151,0.00,9.00

4170,0.00,9.00

4186,0.00,9.00

4203,0.00,9.00

4217,0.00,9.00

4235,0.00,9.00

4252,0.00,9.00

4267,0.00,9.00

4285,0.00,9.00

4300,0.00,9.00

4318,0.00,9.00

4334,0.00,9.00

4350,0.00,9.00

4371,0.00,9.00

4385,0.00,9.00

4401,0.00,9.00

4420,0.00,9.00

4434,0.00,9.00

4451,0.00,9.00

4467,0.00,9.00

4484,0.00,9.00

4501,0.00,9.00

4521,0.00,9.00

4534,0.00,9.00

4553,0.00,9.00

4569,0.00,9.00

4585,0.00,9.00

4601,0.00,9.00

4617,0.00,9.00

4635,0.00,9.00

4652,0.00,9.00

4668,0.00,9.00

4686,0.00,9.00

4701,0.00,9.00

4718,0.00,9.00

4736,0.00,9.00

4751,0.00,9.00

4768,0.00,9.00

4784,0.00,9.00

4800,0.00,9.00

4819,0.00,9.00

4834,0.00,9.00

4854,0.00,9.00

4868,0.00,9.00

4885,0.00,9.00

4901,0.00,9.00

4920,0.00,9.00

4936,0.00,9.00

4953,0.00,9.00

4969,0.00,9.00

4985,0.00,9.00

5000,0.00,9.00

5018,0.00,9.00

5036,0.00,9.00

5051,0.00,9.00

5067,0.00,9.00

5087,0.00,9.00

5102,0.00,9.00

5117,0.00,9.00

5134,0.00,9.00

5153,0.00,9.00

5168,0.00,9.00

5184,0.00,9.00

5202,0.00,9.00

5219,0.00,9.00

5234,0.00,9.00

5251,0.00,9.00

5267,0.00,9.00

5284,0.00,9.00

5301,0.00,9.00

5321,0.00,9.00

5333,0.00,9.00

5353,0.00,9.00

5369,0.00,9.00

5386,0.00,9.00

5402,0.00,9.00

5417,0.00,9.00

5436,0.00,9.00

5452,0.00,9.00

5467,0.00,9.00

5483,0.00,9.00

5503,0.00,9.00

5518,0.00,9.00

5535,0.00,9.00

5554,0.00,9.00

5570,0.00,9.00

5585,0.00,9.00

5600,0.00,9.00

5620,0.00,9.00

5636,0.00,9.00

5653,0.00,9.00

5669,0.00,9.00

5685,0.00,9.00

5701,0.00,9.00

5718,0.00,9.00

5737,0.00,9.00

5751,0.00,9.00

5767,0.00,9.00

5784,0.00,9.00

5802,0.00,9.00

5817,0.00,9.00

5834,0.00,9.00

5851,0.00,9.00

5868,0.00,9.00

5884,0.00,9.00

5901,0.00,9.00

5918,0.00,9.00

5935,0.00,9.00

5950,0.00,9.00

5967,0.00,9.00

5987,0.00,9.00

6003,0.00,9.00

6017,0.00,9.00

6036,0.00,9.00

6051,0.00,9.00

6069,0.00,9.00

6087,0.00,9.00

6101,0.00,9.00

6121,0.00,9.00

6135,0.00,9.00

6151,0.00,9.00

6169,0.00,9.00

6185,0.00,9.00

6201,0.00,9.00

6217,0.00,9.00

6234,0.00,9.00

6250,0.00,9.00

6267,0.00,9.00

6284,0.00,9.00

6301,0.00,9.00

6318,0.00,9.00

6336,0.00,9.00

6350,0.00,9.00

6369,0.00,9.00

6384,0.00,9.00

6402,0.00,9.00

6418,0.00,9.00

6435,0.00,9.00

6451,0.00,9.00

6468,0.00,9.00

6484,0.00,9.00

6504,0.00,9.00

6517,0.00,9.00

6537,0.00,9.00

6552,0.00,9.00

6569,0.00,9.00

6585,0.00,9.00

6601,0.00,9.00

6618,0.00,9.00

6634,0.00,9.00

6651,0.00,9.00

6667,0.00,9.00

6685,0.00,9.00

6701,0.00,9.00

6717,0.00,9.00

6734,0.00,9.00

6750,0.00,9.00

6770,0.00,9.00

6787,0.00,9.00

6802,0.00,9.00

6820,0.00,9.00

6836,0.00,9.00

6850,0.00,9.00

6868,0.00,9.00

6887,0.00,9.00

6902,0.00,9.00

6920,0.00,9.00

6935,0.00,9.00

6950,0.00,9.00

6967,0.00,9.00

6985,0.00,9.00

7002,0.00,9.00

7017,0.00,9.00

7036,0.00,9.00

7054,0.00,9.00

7068,0.00,9.00

7083,0.00,9.00

7101,0.00,9.00

7119,0.00,9.00

7135,0.00,9.00

7150,0.00,9.00

7168,0.00,9.00

7185,0.00,9.00

7202,0.00,9.00

7220,0.00,9.00

7237,0.00,9.00

7252,0.00,9.00

7267,0.00,9.00

7285,0.00,9.00

7303,0.00,9.00

7320,0.00,9.00

7337,0.00,9.00

7352,0.00,9.00

7368,0.00,9.00

7386,0.00,9.00

7401,0.00,9.00

7418,0.00,9.00

7434,0.00,9.00

7452,0.00,9.00

7467,0.00,9.00

7485,0.00,9.00

7504,0.00,9.00

7518,0.00,9.00

7537,0.00,9.00

7552,0.00,9.00

7568,0.00,9.00

7584,0.00,9.00

7601,0.00,9.00

7618,0.00,9.00

7634,0.00,9.00

7654,0.00,9.00

7668,0.00,9.00

7683,0.00,9.00

7700,0.00,9.00

7717,0.00,9.00

7736,0.00,9.00

7754,0.00,9.00

7770,0.00,9.00

7784,0.00,9.00

7801,0.00,9.00

7818,0.00,9.00

7836,0.00,9.00

7852,0.00,9.00

7867,0.00,9.00

7886,0.00,9.00

7901,0.00,9.00

7917,0.00,9.00

7935,0.00,9.00

7950,0.00,9.00

7971,0.00,9.00

7986,0.00,9.00

8002,0.00,9.00

8020,0.00,9.00

8036,0.00,9.00

8053,0.00,9.00

8070,0.00,9.00

8087,0.00,9.00

8102,0.00,9.00

8117,0.00,9.00

8136,0.00,9.00

8153,0.00,9.00

8168,0.00,9.00

8187,0.00,9.00

8201,0.00,9.00

8216,0.00,9.00

8235,0.00,9.00

8250,0.00,9.00

8269,0.00,9.00

8285,0.00,9.00

8300,0.00,9.00

8318,0.00,9.00

8335,0.00,9.00

8351,0.00,9.00

8367,0.00,9.00

8384,0.00,9.00

8401,0.00,9.00

8417,0.00,9.00

8434,0.00,9.00

8451,0.00,9.00

8467,0.00,9.00

8487,0.00,9.00

8503,0.00,9.00

8517,0.00,9.00

8538,0.00,9.00

8552,0.00,9.00

8568,0.00,9.00

8584,0.00,9.00

8601,0.00,9.00

8617,0.00,9.00

8634,0.00,9.00

8650,0.00,9.00

8667,0.00,9.00

8686,0.00,9.00

8701,0.00,9.00

8717,0.00,9.00

8736,0.00,9.00

8752,0.00,9.00

8767,0.00,9.00

8784,0.00,9.00

8802,0.00,9.00

8817,0.00,9.00

8835,0.00,9.00

8854,0.00,9.00

8868,0.00,9.00

8884,0.00,9.00

8900,0.00,9.00

8917,0.00,9.00

8937,0.00,9.00

8953,0.00,9.00

8969,0.00,9.00

8986,0.00,9.00

9002,0.00,9.00

9018,0.00,9.00

9036,0.00,9.00

9051,0.00,9.00

9068,0.00,9.00

9084,0.00,9.00

9102,0.00,9.00

9117,0.00,9.00

9135,0.00,9.00

9151,0.00,9.00

9168,0.00,9.00

9188,0.00,9.00

9203,0.00,9.00

9218,0.00,9.00

9234,0.00,9.00

9251,0.00,9.00

9268,0.00,9.00

9284,0.00,9.00

9302,0.00,9.00

9320,0.00,9.00

9337,0.00,9.00

9352,0.00,9.00

9369,0.00,9.00

9384,0.00,9.00

9400,0.00,9.00

9419,0.00,9.00

9434,0.00,9.00

9450,0.00,9.00

9467,0.00,9.00

9484,0.00,9.00

9501,0.00,9.00

9518,0.00,9.00

9535,0.00,9.00

9554,0.00,9.00

9568,0.00,9.00

9585,0.00,9.00

9601,0.00,9.00

9617,0.00,9.00

9635,0.00,9.00

9650,0.00,9.00

9668,0.00,9.00

9687,0.00,9.00

9703,0.00,9.00

9717,0.00,9.00

9736,0.00,9.00

9753,0.00,9.00

9769,0.00,9.00

9784,0.00,9.00

9801,0.00,9.00

9818,0.00,9.00

9833,0.00,9.00

9853,0.00,9.00

9870,0.00,9.00

9885,0.00,9.00

9901,0.00,9.00

9920,0.00,9.00

9937,0.00,9.00

9952,0.00,9.00

9968,0.00,9.00

9986,0.00,9.00

10001,0.00,9.00

10019,0.00,9.00

10037,0.00,9.00

10052,0.00,9.00

10068,0.00,9.00

10083,0.00,9.00

10104,0.00,9.00

10118,0.00,9.00

10138,0.00,9.00

10150,0.00,9.00

10170,0.00,9.00

10186,0.00,9.00

10201,0.00,9.00

10219,0.00,9.00

10236,0.00,9.00

10252,0.00,9.00

10268,0.00,9.00

10285,0.00,9.00

10301,0.00,9.00

10317,0.00,9.00

10334,0.00,9.00

10351,0.00,9.00

10368,0.00,9.00

10385,0.00,9.00

10402,0.00,9.00

10417,0.00,9.00

10434,0.00,9.00

10451,0.00,9.00

10471,0.00,9.00

10486,0.00,9.00

10502,0.00,9.00

10519,0.00,9.00

10536,0.00,9.00

10553,0.00,9.00

10568,0.00,9.00

10585,0.00,9.00

10600,0.00,9.00

10620,0.00,9.00

10637,0.00,9.00

10651,0.55,9.00

10671,0.55,9.00

10686,0.55,9.00

10703,0.55,9.00

10719,0.55,9.00

10735,0.55,9.00

10751,0.55,9.00

10768,0.55,7.34

10784,0.55,7.34

10801,0.55,7.34

10817,0.55,7.34

10835,0.55,7.34

10852,0.55,7.34

10869,0.55,7.34

10884,0.55,7.34

10902,0.55,7.34

10917,0.55,7.34

10937,0.55,7.34

10953,0.55,7.34

10968,0.55,7.34

10985,0.55,7.34

11002,0.55,7.34

11017,0.55,7.34

11037,0.55,7.34

11052,0.55,7.34

11070,0.55,7.34

11084,0.55,7.34

11104,0.55,7.34

11119,0.55,7.34

11136,0.55,7.34

11153,0.55,7.34

11168,0.55,7.34

11184,0.55,7.34

11202,0.55,7.34

11217,0.55,7.34

11236,0.55,7.34

11251,0.55,7.34

11268,0.55,7.34

11284,0.55,7.34

11305,0.55,7.34

11317,0.55,7.34

11336,0.55,7.34

11353,0.55,7.34

11369,0.55,7.34

11386,0.55,7.34

11402,0.55,7.34

11418,0.55,7.34

11433,0.55,7.34

11451,0.55,7.34

11468,0.55,7.34

11484,0.55,7.34

11503,0.55,7.34

11518,0.55,7.34

11537,0.55,7.34

11553,0.55,7.34

11568,0.55,7.34

11584,0.55,7.34

11603,0.55,7.34

11619,0.55,7.34

11634,0.55,7.34

11652,0.55,7.34

11669,0.55,7.34

11684,0.55,7.34

11702,0.55,7.34

11721,0.55,7.34

11736,0.55,7.34

11754,0.55,7.34

11768,0.55,7.34

11784,0.55,7.34

11801,0.55,7.34

11821,0.55,7.34

11834,0.55,7.34

11854,0.55,7.34

11870,0.55,7.34

11886,0.55,7.34

11902,0.55,7.34

11918,0.55,7.34

11935,0.55,7.34

11951,0.55,7.34

11971,0.55,7.34

11987,0.55,7.34

12001,0.55,7.34

12020,0.55,7.34

12034,0.55,7.34

12054,0.55,7.34

12067,0.55,7.34

12086,0.55,7.34

12102,0.55,7.34

12118,0.55,7.34

12136,0.55,7.34

12153,0.55,7.34

12169,0.55,7.34

12185,0.55,7.34

12202,0.55,7.34

12221,0.55,7.34

12236,0.55,7.34

12251,0.55,7.34

12268,0.55,7.34

12285,0.55,7.34

12304,0.55,7.34

12320,0.55,7.34

12337,0.55,7.34

12353,0.55,7.34

12371,0.55,7.34

12385,0.55,7.34

12402,0.55,7.34

12421,0.55,7.34

12435,0.55,7.34

12451,0.55,7.34

12467,0.55,7.34

12484,0.55,7.34

12505,0.55,7.34

12517,0.55,7.34

12536,0.55,7.34

12553,0.55,7.34

12569,0.55,7.34

12584,0.55,7.34

12603,0.55,7.34

12620,0.55,7.34

12636,0.55,7.34

12651,0.55,7.34

12669,0.55,7.34

12685,0.55,7.34

12701,0.55,7.34

12718,0.55,7.34

12734,0.55,7.34

12751,0.55,7.34

12768,0.55,7.34

12788,0.55,7.34

