0,Kp,Ki,Kd,setpoint,feedfwd

16,1.00,1.00,0.00,0.00,80

31,input,output

49,0.00,0.00

66,0.00,0.00

82,0.00,0.00

98,0.00,0.00

114,0.00,0.00

134,0.00,0.00

147,0.00,0.00

166,0.00,0.00

183,0.00,0.00

200,0.00,0.00

217,0.00,0.00

232,0.00,0.00

249,0.00,0.00

266,0.00,0.00

283,0.00,0.00

299,0.00,0.00

316,0.00,0.00

333,Processing: p 20.0

350,Change KpA and KpB to: 20.00

366,Kp,Ki,Kd,setpoint,feedfwd

384,20.00,1.00,0.00,0.00,80

399,input,output

416,Processing: i 0.0

432,Change KiA and KiB to: 0.00

449,Kp,Ki,Kd,setpoint,feedfwd

467,20.00,0.00,0.00,0.00,80

483,input,output

499,Processing: d 0.0

517,Change KdA and KdB to: 0.00

533,Kp,Ki,Kd,setpoint,feedfwd

550,20.00,0.00,0.00,0.00,80

565,input,output

583,Processing: s 3.0

598,Change setpoint to: 3.00

615,Kp,Ki,Kd,setpoint,feedfwd

632,20.00,0.00,0.00,3.00,80

650,input,output

666,0.00,0.00

683,0.00,60.00

702,0.00,60.00

716,0.00,60.00

732,0.00,60.00

750,0.00,60.00

766,0.00,60.00

783,0.00,60.00

800,0.00,60.00

817,0.00,60.00

831,0.00,60.00

849,0.00,60.00

866,0.00,60.00

883,0.00,60.00

901,0.00,60.00

916,0.00,60.00

933,0.00,60.00

950,0.00,60.00

966,0.00,60.00

981,0.00,60.00

999,0.00,60.00

1016,0.00,60.00

1033,0.00,60.00

1049,0.00,60.00

1068,0.00,60.00

1082,0.00,60.00

1099,0.00,60.00

1116,0.00,60.00

1132,0.00,60.00

1150,0.00,60.00

1166,0.00,60.00

1183,0.00,60.00

1200,0.00,60.00

1216,0.00,60.00

1233,0.00,60.00

1251,0.00,60.00

1265,0.00,60.00

1284,0.00,60.00

1299,0.00,60.00

1317,0.00,60.00

1333,0.00,60.00

1350,0.00,60.00

1367,0.00,60.00

1383,0.00,60.00

1400,0.00,60.00

1416,0.00,60.00

1432,0.00,60.00

1450,0.00,60.00

1466,0.00,60.00

1484,0.00,60.00

1499,0.00,60.00

1517,0.00,60.00

1533,0.00,60.00

1550,0.00,60.00

1565,0.00,60.00

1584,0.00,60.00

1599,0.00,60.00

1617,0.00,60.00

1633,0.00,60.00

1650,0.00,60.00

1665,0.00,60.00

1683,0.00,60.00

1700,0.00,60.00

1717,0.00,60.00

1733,0.00,60.00

1749,0.00,60.00

1767,0.00,60.00

1783,0.00,60.00

1800,0.00,60.00

1816,0.00,60.00

1833,0.00,60.00

1850,0.00,60.00

1865,0.00,60.00

1883,0.00,60.00

1900,0.00,60.00

1916,0.00,60.00

1933,0.00,60.00

1950,2.56,8.84

1966,2.56,8.84

1982,2.56,8.84

2000,2.56,8.84

2015,2.56,8.84

2032,2.56,8.84

2048,2.56,8.84

2067,2.56,8.84

2083,2.56,8.84

2099,2.56,8.84

2117,2.56,8.84

2133,2.56,8.84

2150,2.56,8.84

2167,2.56,8.84

2182,2.56,8.84

2199,2.56,8.84

2216,2.56,8.84

2233,2.56,8.84

2249,2.56,8.84

2266,2.56,8.84

2283,2.56,8.84

2300,2.56,8.84

2317,2.56,8.84

2333,2.56,8.84

2350,2.56,8.84

2367,2.56,8.84

2382,2.56,8.84

2400,2.56,8.84

2414,2.56,8.84

2433,2.56,8.84

2449,2.56,8.84

2467,2.56,8.84

2484,2.56,8.84

2499,2.56,8.84

2517,2.56,8.84

2532,2.56,8.84

2550,2.56,8.84

2564,2.56,8.84

2583,2.56,8.84

2600,2.56,8.84

2616,2.56,8.84

2633,2.56,8.84

2650,8.60,8.84

2666,8.60,8.84

2684,8.60,8.84

2699,8.60,8.84

2716,8.60,8.84

2733,8.60,0.00

2748,8.60,0.00

2766,8.60,0.00

2783,8.60,0.00

2799,8.60,0.00

2816,8.60,0.00

2833,8.60,0.00

2850,8.60,0.00

2866,8.60,0.00

2883,8.60,0.00

2899,8.60,0.00

2916,8.60,0.00

2933,8.60,0.00

2949,8.60,0.00

2967,8.60,0.00

2983,8.60,0.00

3000,8.60,0.00

3017,8.60,0.00

3033,8.60,0.00

3050,8.60,0.00

3066,8.60,0.00

3084,8.60,0.00

3100,8.60,0.00

3114,8.60,0.00

3134,8.60,0.00

3150,8.60,0.00

3166,8.60,0.00

3183,8.60,0.00

3199,8.60,0.00

3216,8.60,0.00

3233,8.60,0.00

3251,8.60,0.00

3267,8.60,0.00

3283,8.60,0.00

3300,8.60,0.00

3317,8.60,0.00

3333,8.84,0.00

3350,8.84,0.00

3367,8.84,0.00

3383,8.84,0.00

3400,8.84,0.00

3416,8.84,0.00

3434,8.84,0.00

3450,8.84,0.00

3468,8.84,0.00

3483,8.84,0.00

3501,8.84,0.00

3514,8.84,0.00

3532,8.84,0.00

3550,8.84,0.00

3566,8.84,0.00

3584,8.84,0.00

3600,8.84,0.00

3617,8.84,0.00

3633,8.84,0.00

3650,8.84,0.00

3666,8.84,0.00

3682,8.84,0.00

3700,8.84,0.00

3716,8.84,0.00

3731,8.84,0.00

3749,8.84,0.00

3767,8.84,0.00

3784,8.84,0.00

3800,8.84,0.00

3814,8.84,0.00

3833,8.84,0.00

3850,8.84,0.00

3867,8.84,0.00

3883,8.84,0.00

3899,8.84,0.00

3916,8.84,0.00

3933,8.84,0.00

3950,8.84,0.00

3967,8.84,0.00

3983,8.84,0.00

4000,9.10,0.00

4016,9.10,0.00

4032,9.10,0.00

4050,9.10,0.00

4066,9.10,0.00

4082,9.10,0.00

4100,9.10,0.00

4116,9.10,0.00

4133,9.10,0.00

4149,9.10,0.00

4167,9.10,0.00

4183,9.10,0.00

4201,9.10,0.00

4216,9.10,0.00

4234,9.10,0.00

4249,9.10,0.00

4267,9.10,0.00

4284,9.10,0.00

4300,9.10,0.00

4316,9.10,0.00

4333,9.10,0.00

4350,9.10,0.00

4366,9.10,0.00

4382,9.10,0.00

4400,9.10,0.00

4416,9.10,0.00

4433,9.10,0.00

4450,9.10,0.00

4467,9.10,0.00

4482,9.10,0.00

4499,9.10,0.00

4516,9.10,0.00

4533,9.10,0.00

4550,9.10,0.00

4566,9.10,0.00

4583,9.10,0.00

4598,9.10,0.00

4617,9.10,0.00

4634,9.10,0.00

4650,9.10,0.00

4666,9.10,0.00

4684,9.10,0.00

4700,9.10,0.00

4716,9.10,0.00

4734,9.10,0.00

4749,9.10,0.00

4766,9.10,0.00

4783,9.10,0.00

4801,9.10,0.00

4815,9.10,0.00

4833,9.10,0.00

4850,9.10,0.00

4866,9.10,0.00

4882,9.10,0.00

4900,9.10,0.00

4917,9.10,0.00

4933,9.10,0.00

4951,9.10,0.00

4966,9.10,0.00

4983,9.10,0.00

5000,9.10,0.00

5017,9.10,0.00

5033,9.10,0.00

5050,9.10,0.00

5067,9.10,0.00

5084,9.10,0.00

5100,9.10,0.00

5116,9.10,0.00

5133,9.10,0.00

5151,9.10,0.00

5166,9.10,0.00

5183,9.10,0.00

5200,9.10,0.00

5216,9.10,0.00

5232,9.10,0.00

5249,9.10,0.00

5266,9.10,0.00

5283,9.10,0.00

5300,9.67,0.00

5315,9.67,0.00

5333,9.67,0.00

5350,9.67,0.00

5366,9.67,0.00

5382,9.67,0.00

5398,9.67,0.00

5417,9.67,0.00

5434,9.67,0.00

5450,9.67,0.00

5467,9.67,0.00

5484,9.67,0.00

5499,9.67,0.00

5517,9.67,0.00

5533,9.67,0.00

5550,9.67,0.00

5566,9.67,0.00

5583,9.67,0.00

5600,9.67,0.00

5616,9.67,0.00

5632,9.67,0.00

5650,9.67,0.00

5666,9.67,0.00

5682,9.67,0.00

5699,9.67,0.00

5716,9.67,0.00

5734,9.67,0.00

5750,9.67,0.00

5767,9.67,0.00

5784,9.67,0.00

5800,9.67,0.00

5817,9.67,0.00

5833,9.67,0.00

5850,9.67,0.00

5867,9.67,0.00

5883,9.67,0.00

5900,9.67,0.00

5917,9.67,0.00

5933,9.67,0.00

5951,9.67,0.00

5967,9.67,0.00

5985,9.67,0.00

6000,9.67,0.00

6017,9.67,0.00

6033,9.67,0.00

6050,9.67,0.00

6066,9.67,0.00

6083,9.67,0.00

6099,9.67,0.00

6117,9.67,0.00

6133,9.67,0.00

6151,9.67,0.00

6166,9.67,0.00

6184,9.67,0.00

6200,9.67,0.00

6216,9.67,0.00

6233,9.67,0.00

6251,9.67,0.00

6267,9.67,0.00

6284,9.67,0.00

6300,9.67,0.00

6316,9.67,0.00

6332,9.67,0.00

6350,9.67,0.00

6366,9.67,0.00

6382,9.67,0.00

6400,9.67,0.00

6416,9.67,0.00

6433,9.67,0.00

6447,9.67,0.00

6467,9.67,0.00

6483,9.67,0.00

6500,9.67,0.00

6517,9.67,0.00

6533,9.67,0.00

6549,9.67,0.00

6566,9.38,0.00

6584,9.38,0.00

6600,9.38,0.00

6617,9.38,0.00

6633,9.38,0.00

6651,9.38,0.00

6667,9.38,0.00

6683,9.38,0.00

6700,9.38,0.00

6716,9.38,0.00

6733,9.38,0.00

6751,9.38,0.00

6766,9.38,0.00

6783,9.38,0.00

6799,9.38,0.00

6817,9.38,0.00

6833,9.38,0.00

6850,9.38,0.00

6867,9.38,0.00

6884,9.38,0.00

6900,9.38,0.00

6917,9.38,0.00

6933,9.38,0.00

6951,9.38,0.00

6966,9.38,0.00

6984,9.38,0.00

7000,9.38,0.00

7015,9.38,0.00

7034,9.38,0.00

7051,9.38,0.00

7067,9.38,0.00

7083,9.38,0.00

7100,9.38,0.00

7117,9.38,0.00

7134,9.38,0.00

7150,9.38,0.00

7167,9.38,0.00

7183,9.38,0.00

7200,9.38,0.00

7216,9.38,0.00

7233,9.38,0.00

7250,9.38,0.00

7266,9.38,0.00

7284,9.38,0.00

7300,9.38,0.00

7317,9.38,0.00

7333,9.38,0.00

7350,9.38,0.00

7368,9.38,0.00

7384,9.38,0.00

7399,9.38,0.00

7417,9.38,0.00

7434,9.38,0.00

7450,9.38,0.00

7467,9.38,0.00

7483,9.38,0.00

7500,9.38,0.00

7517,9.38,0.00

7532,9.38,0.00

7550,9.38,0.00

7567,9.38,0.00

7583,9.38,0.00

7600,9.38,0.00

7616,9.38,0.00

7633,9.38,0.00

7651,9.38,0.00

7666,9.38,0.00

