0,Kp,Ki,Kd,setpoint,feedfwd

15,1.00,1.00,0.00,0.00,80

31,input,output

50,0.00,0.00

66,0.00,0.00

82,0.00,0.00

100,0.00,0.00

117,0.00,0.00

132,0.00,0.00

150,0.00,0.00

165,0.00,0.00

185,0.00,0.00

199,0.00,0.00

214,0.00,0.00

233,0.00,0.00

249,0.00,0.00

266,0.00,0.00

284,Processing: p 7.0

301,Change KpA and KpB to: 7.00

318,Kp,Ki,Kd,setpoint,feedfwd

331,7.00,1.00,0.00,0.00,80

349,input,output

368,Processing: i 0.0

382,Change KiA and KiB to: 0.00

401,Kp,Ki,Kd,setpoint,feedfwd

415,7.00,0.00,0.00,0.00,80

432,input,output

450,Processing: d 0.0

467,Change KdA and KdB to: 0.00

482,Kp,Ki,Kd,setpoint,feedfwd

500,7.00,0.00,0.00,0.00,80

517,input,output

531,Processing: s 3.0

549,Change setpoint to: 3.00

565,Kp,Ki,Kd,setpoint,feedfwd

582,7.00,0.00,0.00,3.00,80

600,input,output

615,0.00,0.00

632,0.00,21.00

649,0.00,21.00

665,0.00,21.00

685,0.00,21.00

699,0.00,21.00

717,0.00,21.00

732,0.00,21.00

749,0.00,21.00

766,0.00,21.00

783,0.00,21.00

801,0.00,21.00

817,0.00,21.00

831,0.00,21.00

850,0.00,21.00

865,0.00,21.00

881,0.00,21.00

900,0.00,21.00

914,0.00,21.00

932,0.00,21.00

949,0.00,21.00

968,0.00,21.00

982,0.00,21.00

1001,0.00,21.00

1017,0.00,21.00

1031,0.00,21.00

1049,0.00,21.00

1066,0.00,21.00

1082,0.00,21.00

1101,0.00,21.00

1115,0.00,21.00

1132,0.00,21.00

1149,0.00,21.00

1165,0.00,21.00

1185,0.00,21.00

1199,0.00,21.00

1217,0.00,21.00

1233,0.00,21.00

1248,0.00,21.00

1267,0.00,21.00

1282,0.00,21.00

1298,0.00,21.00

1316,0.00,21.00

1332,0.00,21.00

1352,0.00,21.00

1365,0.00,21.00

1381,0.00,21.00

1398,0.00,21.00

1418,0.00,21.00

1431,0.00,21.00

1451,0.00,21.00

1465,0.00,21.00

1481,0.00,21.00

1500,0.00,21.00

1515,0.00,21.00

1533,0.00,21.00

1549,0.00,21.00

1566,0.00,21.00

1582,0.00,21.00

1598,0.00,21.00

1618,0.00,21.00

1634,0.00,21.00

1649,0.00,21.00

1668,0.00,21.00

1684,0.00,21.00

1700,0.00,21.00

1717,0.00,21.00

1732,0.00,21.00

1749,0.00,21.00

1766,0.00,21.00

1782,0.00,21.00

1799,0.00,21.00

1818,0.00,21.00

1831,0.00,21.00

1848,0.00,21.00

1864,0.00,21.00

1884,0.00,21.00

1901,0.00,21.00

1917,0.00,21.00

1932,0.00,21.00

1948,0.00,21.00

1966,0.00,21.00

1984,0.00,21.00

1999,0.00,21.00

2018,0.00,21.00

2032,0.00,21.00

2048,0.00,21.00

2065,0.00,21.00

2081,0.00,21.00

2099,0.00,21.00

2115,0.00,21.00

2132,0.00,21.00

2149,0.00,21.00

2164,0.00,21.00

2185,0.00,21.00

2199,0.00,21.00

2215,0.00,21.00

2233,0.00,21.00

2248,0.00,21.00

2268,0.00,21.00

2282,0.00,21.00

2300,0.00,21.00

2316,0.00,21.00

2333,0.00,21.00

2349,0.00,21.00

2364,0.00,21.00

2382,0.00,21.00

2398,0.00,21.00

2418,0.00,21.00

2431,0.00,21.00

2449,0.00,21.00

2466,0.00,21.00

2483,0.00,21.00

2499,0.00,21.00

2514,0.00,21.00

2532,0.00,21.00

2552,0.00,21.00

2565,0.00,21.00

2584,0.00,21.00

2598,0.00,21.00

2617,0.00,21.00

2632,0.00,21.00

2650,0.00,21.00

2667,0.00,21.00

2681,0.00,21.00

2701,0.00,21.00

2716,0.00,21.00

2734,0.00,21.00

2748,0.00,21.00

2766,0.00,21.00

2781,0.00,21.00

2798,0.00,21.00

2818,0.00,21.00

2831,0.00,21.00

2850,0.00,21.00

2865,0.00,21.00

2884,0.00,21.00

2898,0.00,21.00

2914,0.00,21.00

2933,0.00,21.00

2948,0.00,21.00

2969,0.00,21.00

2984,0.00,21.00

2998,0.00,21.00

3015,0.00,21.00

3032,0.00,21.00

3048,0.00,21.00

3068,0.00,21.00

3082,0.00,21.00

3101,0.00,21.00

3117,0.00,21.00

3133,0.00,21.00

3149,0.00,21.00

3166,0.00,21.00

3183,0.00,21.00

3199,0.00,21.00

3217,0.00,21.00

3232,0.00,21.00

3249,0.00,21.00

3265,0.00,21.00

3283,0.00,21.00

3298,0.00,21.00

3314,0.00,21.00

3332,0.00,21.00

3349,0.00,21.00

3368,0.00,21.00

3381,0.00,21.00

3398,0.00,21.00

3417,0.00,21.00

3433,0.00,21.00

3448,0.00,21.00

3467,0.00,21.00

3482,0.00,21.00

3501,0.00,21.00

3517,0.00,21.00

3531,0.00,21.00

3548,0.00,21.00

3565,0.00,21.00

3581,0.00,21.00

3599,0.00,21.00

3617,0.00,21.00

3634,0.00,21.00

3650,0.00,21.00

3667,0.00,21.00

3682,0.00,21.00

3698,0.00,21.00

3718,0.00,21.00

3731,0.00,21.00

3749,0.00,21.00

3765,0.00,21.00

3781,0.00,21.00

3799,0.00,21.00

3815,0.00,21.00

3834,0.00,21.00

3849,0.00,21.00

3867,0.00,21.00

3883,0.00,21.00

3901,0.00,21.00

3917,0.00,21.00

3933,0.00,21.00

3949,0.00,21.00

3964,0.00,21.00

3982,0.00,21.00

3998,0.00,21.00

4016,0.00,21.00

4034,0.00,21.00

4051,0.00,21.00

4064,0.00,21.00

4085,0.00,21.00

4100,0.00,21.00

4118,0.00,21.00

4132,0.00,21.00

4148,0.00,21.00

4164,0.00,21.00

4183,0.00,21.00

4198,0.00,21.00

4215,0.00,21.00

4232,0.00,21.00

4248,0.00,21.00

4269,0.00,21.00

4281,0.00,21.00
