0,Kp,Ki,Kd,setpoint,feedfwd

17,1.00,1.00,0.00,0.00,80

32,input,output

51,0.00,0.00

66,0.00,0.00

82,0.00,0.00

99,0.00,0.00

116,0.00,0.00

134,0.00,0.00

150,0.00,0.00

167,0.00,0.00

183,0.00,0.00

199,0.00,0.00

217,0.00,0.00

231,0.00,0.00

250,Processing: p 30.0

267,Change KpA and KpB to: 30.00

282,Kp,Ki,Kd,setpoint,feedfwd

301,30.00,1.00,0.00,0.00,80

314,input,output

334,Processing: i 0.0

350,Change KiA and KiB to: 0.00

367,Kp,Ki,Kd,setpoint,feedfwd

383,30.00,0.00,0.00,0.00,80

400,input,output

417,Processing: d 0.0

433,Change KdA and KdB to: 0.00

450,Kp,Ki,Kd,setpoint,feedfwd

467,30.00,0.00,0.00,0.00,80

482,input,output

499,Processing: s 3.0

517,Change setpoint to: 3.00

534,Kp,Ki,Kd,setpoint,feedfwd

550,30.00,0.00,0.00,3.00,80

567,input,output

583,0.00,0.00

600,0.00,90.00

616,0.00,90.00

633,0.00,90.00

649,0.00,90.00

666,0.00,90.00

683,0.00,90.00

699,0.00,90.00

716,0.00,90.00

734,0.00,90.00

749,0.00,90.00

767,0.00,90.00

783,0.00,90.00

798,0.00,90.00

818,0.00,90.00

831,0.00,90.00

851,0.00,90.00

867,0.00,90.00

881,0.00,90.00

898,0.00,90.00

916,0.00,90.00

934,0.00,90.00

948,0.00,90.00

966,0.00,90.00

983,0.00,90.00

999,0.00,90.00

1016,0.00,90.00

1033,0.00,90.00

1051,0.00,90.00

1065,0.00,90.00

1084,0.00,90.00

1100,0.00,90.00

1117,0.00,90.00

1134,0.00,90.00

1149,0.00,90.00

1167,0.00,90.00

1184,0.00,90.00

1200,0.00,90.00

1216,0.00,90.00

1234,0.00,90.00

1250,0.00,90.00

1266,0.00,90.00

1284,0.00,90.00

1300,0.00,90.00

1317,0.00,90.00

1331,0.00,90.00

1351,0.00,90.00

1366,0.00,90.00

1382,0.00,90.00

1399,0.00,90.00

1415,0.00,90.00

1434,0.00,90.00

1451,0.00,90.00

1466,0.00,90.00

1483,0.00,90.00

1500,0.00,90.00

1516,0.00,90.00

1532,0.00,90.00

1550,0.00,90.00

1566,0.00,90.00

1583,0.00,90.00

1601,0.00,90.00

1616,0.00,90.00

1633,0.00,90.00

1650,0.00,90.00

1664,0.00,90.00

1682,0.00,90.00

1699,0.00,90.00

1715,0.00,90.00

1732,0.00,90.00

1750,0.00,90.00

1765,0.00,90.00

1782,0.00,90.00

1799,0.00,90.00

1818,0.00,90.00

1834,0.00,90.00

1849,0.00,90.00

1866,0.00,90.00

1883,0.00,90.00

1900,0.00,90.00

1915,0.00,90.00

1934,0.00,90.00

1951,0.00,90.00

1967,0.00,90.00

1984,0.00,90.00

2000,0.00,90.00

2016,0.00,90.00

2034,0.00,90.00

2049,0.00,90.00

2066,0.00,90.00

2083,0.00,90.00

2099,0.00,90.00

2115,0.00,90.00

2131,0.00,90.00

2148,0.00,90.00

2166,0.00,90.00

2182,0.00,90.00

2200,0.00,90.00

2216,0.00,90.00

2233,0.00,90.00

2248,0.00,90.00

2264,0.00,90.00

2281,0.00,90.00

2298,0.00,90.00

2315,0.00,90.00

2333,0.00,90.00

2351,0.00,90.00

2367,0.00,90.00

2381,0.00,90.00

2398,0.00,90.00

2414,0.00,90.00

2431,0.00,90.00

2448,0.00,90.00

2466,0.00,90.00

2481,0.00,90.00

2498,0.00,90.00

2516,0.00,90.00

2534,0.00,90.00

2549,0.00,90.00

2566,0.00,90.00

2582,0.00,90.00

2599,0.00,90.00

2617,0.00,90.00

2631,0.00,90.00

2649,0.00,90.00

2667,0.00,90.00

2682,0.00,90.00

2697,0.00,90.00

2718,0.00,90.00

2732,0.00,90.00

2747,0.00,90.00

2768,0.00,90.00

2782,0.00,90.00

2798,0.00,90.00

2814,0.00,90.00

2833,0.00,90.00

2851,0.00,90.00

2864,0.00,90.00

2881,0.00,90.00

2898,0.00,90.00

2914,0.00,90.00

2931,0.00,90.00

2947,0.00,90.00

2967,0.00,90.00

2982,0.00,90.00

2998,0.00,90.00

3014,0.00,90.00

3032,0.00,90.00

3049,0.00,90.00

3066,0.00,90.00

3082,0.00,90.00

3098,0.00,90.00

3114,0.00,90.00

3133,0.00,90.00

3148,0.00,90.00

3167,0.00,90.00

3182,0.00,90.00

3200,0.00,90.00

3217,0.00,90.00

3232,0.00,90.00

3247,0.00,90.00

3267,0.00,90.00

3282,0.00,90.00

3301,0.00,90.00

3314,0.00,90.00

3335,0.00,90.00

3349,0.00,90.00

3367,0.00,90.00

3382,0.00,90.00

3401,0.00,90.00

3416,0.00,90.00

3433,0.00,90.00

3449,0.00,90.00

3466,0.00,90.00

3482,0.00,90.00

3500,0.00,90.00

3516,0.00,90.00

3532,0.00,90.00

3549,0.00,90.00

3567,0.00,90.00

3582,0.00,90.00

3602,0.00,90.00

3616,0.00,90.00

3633,0.00,90.00

3651,0.00,90.00

3666,0.00,90.00

3684,0.00,90.00

3700,0.00,90.00

3717,0.00,90.00

3734,0.00,90.00

3750,0.00,90.00

3766,0.00,90.00

3783,0.00,90.00

3800,0.00,90.00

3816,0.00,90.00

3830,0.00,90.00

3849,0.00,90.00

3867,0.00,90.00

3882,0.00,90.00

3901,0.00,90.00

3915,0.00,90.00

3931,0.00,90.00

3949,0.00,90.00

3966,0.00,90.00

3984,0.00,90.00

4000,0.00,90.00

4017,0.00,90.00

4034,0.00,90.00

4049,0.00,90.00

4067,0.00,90.00

4082,0.00,90.00

4099,0.00,90.00

4117,0.00,90.00

4134,0.00,90.00

4149,0.00,90.00

4166,0.00,90.00

4183,0.00,90.00

4199,0.00,90.00

4217,0.00,90.00

4232,0.00,90.00

4249,0.00,90.00

4266,0.00,90.00

4283,0.00,90.00

4299,0.00,90.00

4318,0.00,90.00

4332,0.00,90.00

4349,0.00,90.00

4366,0.00,90.00

4381,0.00,90.00

4400,0.00,90.00

4417,0.00,90.00

4431,0.00,90.00

4451,0.00,90.00

4466,1.18,90.00

4483,1.18,90.00

4500,1.18,90.00

4518,1.18,90.00

4532,1.18,54.69

4551,1.18,54.69

4567,1.18,54.69

4581,1.18,54.69

4601,1.18,54.69

4617,1.18,54.69

4633,1.18,54.69

4649,1.18,54.69

4666,1.18,54.69

4684,1.18,54.69

4701,1.18,54.69

4716,1.18,54.69

4733,1.18,54.69

4749,1.18,54.69

4766,1.18,54.69

4783,1.18,54.69

4799,1.18,54.69

4817,1.18,54.69

4833,1.18,54.69

4850,1.18,54.69

4868,1.18,54.69

4884,1.18,54.69

4900,1.18,54.69

4916,1.18,54.69

4933,1.18,54.69

4949,1.18,54.69

4967,1.18,54.69

4983,1.18,54.69

5000,1.18,54.69

5017,1.18,54.69

5033,1.18,54.69

5049,1.18,54.69

5067,1.18,54.69

5084,1.18,54.69

5100,1.18,54.69

5117,1.18,54.69

5133,1.18,54.69

5150,1.18,54.69

5166,1.18,54.69

5183,1.18,54.69

5200,1.18,54.69

5217,1.18,54.69

5233,1.18,54.69

5249,1.18,54.69

5267,1.18,54.69

5285,1.18,54.69

5298,1.18,54.69

5316,1.18,54.69

5333,1.18,54.69

5350,1.18,54.69

5366,1.18,54.69

5383,1.18,54.69

5400,1.18,54.69

5415,1.18,54.69

5433,1.18,54.69

5450,1.18,54.69

5466,1.18,54.69

5483,1.18,54.69

5501,1.18,54.69

5517,1.18,54.69

5532,1.18,54.69

5551,1.18,54.69
