0,KpA,KiA,KdA,setpointA,FEEDFWDA,KpB,KiB,KdB,setpointB,FEEDFWDB

18,1.00,0.00,0.00,1.50,80,1.00,0.00,0.00,1.50,80

36,inputA,outputA,a_adjust,inputB,outputB,b_adjust

52,0.00,1.50,80,0.00,1.50,80

68,0.00,1.50,80,0.00,1.50,80

86,KpA,KiA,KdA,setpointA,FEEDFWDA,KpB,KiB,KdB,setpointB,FEEDFWDB

99,1.00,0.00,0.00,1.50,80,1.00,0.00,0.00,1.50,80

119,inputA,outputA,a_adjust,inputB,outputB,b_adjust

135,KpA,KiA,KdA,setpointA,FEEDFWDA,KpB,KiB,KdB,setpointB,FEEDFWDB

150,1.00,0.00,0.00,1.50,80,1.00,0.00,0.00,1.50,80

168,inputA,outputA,a_adjust,inputB,outputB,b_adjust

186,KpA,KiA,KdA,setpointA,FEEDFWDA,KpB,KiB,KdB,setpointB,FEEDFWDB

200,1.00,0.00,0.00,1.50,80,1.00,0.00,0.00,1.50,80

217,inputA,outputA,a_adjust,inputB,outputB,b_adjust

236,KpA,KiA,KdA,setpointA,FEEDFWDA,KpB,KiB,KdB,setpointB,FEEDFWDB

252,1.00,0.00,0.00,1.50,80,1.00,0.00,0.00,1.50,80

269,inputA,outputA,a_adjust,inputB,outputB,b_adjust

286,0.00,1.50,80,0.00,1.50,80

299,0.00,3.00,80,0.00,3.00,80

319,0.00,3.00,80,0.00,3.00,80

333,0.00,3.00,80,0.00,3.00,80

351,0.00,3.00,80,0.00,3.00,80

366,0.00,3.00,80,0.00,3.00,80

386,0.00,3.00,80,0.00,3.00,80

401,0.00,3.00,80,0.00,3.00,80

418,0.00,3.00,80,0.00,3.00,80

436,0.00,3.00,80,0.00,3.00,80

449,0.00,3.00,80,0.00,3.00,80

470,0.00,3.00,80,0.00,3.00,80

485,0.00,3.00,80,0.00,3.00,80

499,0.00,3.00,80,0.00,3.00,80

520,0.00,3.00,80,0.00,3.00,80

532,0.00,3.00,80,0.00,3.00,80

553,0.00,3.00,80,0.00,3.00,80

566,0.00,3.00,80,0.00,3.00,80

586,0.00,3.00,80,0.00,3.00,80

599,0.00,3.00,80,0.00,3.00,80

620,0.00,3.00,80,0.00,3.00,80

634,0.00,3.00,80,0.00,3.00,80

650,0.00,3.00,80,0.00,3.00,80

666,0.00,3.00,80,0.00,3.00,80

687,0.00,3.00,80,0.00,3.00,80

702,0.00,3.00,80,0.00,3.00,80

716,0.00,3.00,80,0.00,3.00,80

736,0.00,3.00,80,0.00,3.00,80

751,0.00,3.00,80,0.00,3.00,80

768,0.00,3.00,80,0.00,3.00,80

786,0.00,3.00,80,0.00,3.00,80

801,0.00,3.00,80,0.00,3.00,80

819,0.00,3.00,80,0.00,3.00,80

836,0.00,3.00,80,0.00,3.00,80

851,0.00,3.00,80,0.00,3.00,80

866,0.00,3.00,80,0.00,3.00,80

886,0.00,3.00,80,0.00,3.00,80

899,0.00,3.00,80,0.00,3.00,80

920,0.00,3.00,80,0.00,3.00,80

934,0.00,3.00,80,0.00,3.00,80

949,0.00,3.00,80,0.00,3.00,80

