1,KpA,KiA,KdA,setpointA,FEEDFWDA,KpB,KiB,KdB,setpointB,FEEDFWDB

16,1.00,0.00,0.00,1.50,80,1.00,0.00,0.00,1.50,80

34,inputA,outputA,a_adjust,inputB,outputB,b_adjust

49,0.00,1.50,80,0.00,1.50,80

65,0.00,1.50,80,0.00,1.50,80

83,0.00,1.50,80,0.00,1.50,80

101,0.00,1.50,80,0.00,1.50,80

118,KpA,KiA,KdA,setpointA,FEEDFWDA,KpB,KiB,KdB,setpointB,FEEDFWDB

134,10.00,0.00,0.00,1.50,80,10.00,0.00,0.00,1.50,80

151,inputA,outputA,a_adjust,inputB,outputB,b_adjust

167,KpA,KiA,KdA,setpointA,FEEDFWDA,KpB,KiB,KdB,setpointB,FEEDFWDB

184,10.00,10.00,0.00,1.50,80,10.00,10.00,0.00,1.50,80

201,inputA,outputA,a_adjust,inputB,outputB,b_adjust

215,KpA,KiA,KdA,setpointA,FEEDFWDA,KpB,KiB,KdB,setpointB,FEEDFWDB

233,10.00,10.00,0.00,1.50,80,10.00,10.00,0.00,1.50,80

251,inputA,outputA,a_adjust,inputB,outputB,b_adjust

266,KpA,KiA,KdA,setpointA,FEEDFWDA,KpB,KiB,KdB,setpointB,FEEDFWDB

283,10.00,10.00,0.00,1.50,80,10.00,10.00,0.00,1.50,80

299,inputA,outputA,a_adjust,inputB,outputB,b_adjust

315,0.00,1.50,80,0.00,1.50,80

333,0.00,16.65,80,0.00,16.65,80

352,0.00,16.65,80,0.00,16.65,80

364,0.00,16.65,80,0.00,16.65,80

383,0.00,16.65,80,0.00,16.65,80

401,0.00,16.65,80,0.00,16.65,80

415,0.00,16.80,80,0.00,16.80,80

433,0.00,16.80,80,0.00,16.80,80

448,0.00,16.80,80,0.00,16.80,80

467,0.00,16.80,80,0.00,16.80,80

483,0.00,16.95,80,0.00,16.95,80

498,0.00,16.95,80,0.00,16.95,80

517,0.00,16.95,80,0.00,16.95,80

533,0.00,16.95,80,0.00,16.95,80

549,0.00,16.95,80,0.00,16.95,80

568,0.00,17.10,80,0.00,17.10,80

582,0.00,17.10,80,0.00,17.10,80

599,0.00,17.10,80,0.00,17.10,80

615,0.00,17.10,80,0.00,17.10,80

633,0.00,17.10,80,0.00,17.10,80

649,0.00,17.25,80,0.00,17.25,80

668,0.00,17.25,80,0.00,17.25,80

683,0.00,17.25,80,0.00,17.25,80

701,0.00,17.25,80,0.00,17.25,80

715,0.00,17.40,80,0.00,17.40,80

733,0.00,17.40,80,0.00,17.40,80

750,0.00,17.40,80,0.00,17.40,80

765,0.00,17.40,80,0.00,17.40,80

784,0.00,17.40,80,0.00,17.40,80

799,0.00,17.55,80,0.00,17.55,80

815,0.00,17.55,80,0.00,17.55,80

834,0.00,17.55,80,0.00,17.55,80

849,0.00,17.55,80,0.00,17.55,80

865,0.00,17.55,80,0.00,17.55,80

883,0.00,17.70,80,0.00,17.70,80

900,0.00,17.70,80,0.00,17.70,80

917,0.00,17.70,80,0.00,17.70,80

934,0.00,17.70,80,0.00,17.70,80

948,0.00,17.70,80,0.00,17.70,80

964,0.00,17.85,80,0.00,17.85,80

986,0.00,17.85,80,0.00,17.85,80

1000,0.00,17.85,80,0.00,17.85,80

1017,0.00,17.85,80,0.00,17.85,80

1032,0.00,18.00,80,0.00,18.00,80

1052,0.00,18.00,80,0.00,18.00,80

1065,0.00,18.00,80,0.00,18.00,80

1085,0.00,18.00,80,0.00,18.00,80

1102,0.00,18.00,80,0.00,18.00,80

1116,0.00,18.15,80,0.00,18.15,80

1133,0.00,18.15,80,0.00,18.15,80

1152,0.00,18.15,80,0.00,18.15,80

1167,0.00,18.15,80,0.00,18.15,80

1184,0.00,18.30,80,0.00,18.30,80

1200,0.00,18.30,80,0.00,18.30,80

1216,0.00,18.30,80,0.00,18.30,80

1233,0.00,18.30,80,0.00,18.30,80

1250,0.00,18.30,80,0.00,18.30,80

1266,0.00,18.45,80,0.00,18.45,80

1283,0.00,18.45,80,0.00,18.45,80

1302,0.00,18.45,80,0.00,18.45,80

1315,0.00,18.45,80,0.00,18.45,80

1333,0.00,18.60,80,0.00,18.60,80

1352,0.00,18.60,80,0.00,18.60,80

1368,0.00,18.60,80,0.00,18.60,80

1383,0.00,18.60,80,0.00,18.60,80

1399,0.00,18.60,80,0.00,18.60,80

1415,0.00,18.75,80,0.00,18.75,80

1436,0.00,18.75,80,0.00,18.75,80

1450,0.00,18.75,80,0.00,18.75,80

1465,0.00,18.75,80,0.00,18.75,80

1483,0.00,18.75,80,0.00,18.75,80

1501,0.00,18.90,80,0.00,18.90,80

1515,0.00,18.90,80,0.00,18.90,80

1533,0.00,18.90,80,0.00,18.90,80

1550,0.00,18.90,80,0.00,18.90,80

1567,0.00,18.90,80,0.00,18.90,80

1583,0.00,19.05,80,0.00,19.05,80

1600,0.00,19.05,80,0.00,19.05,80

1617,0.00,19.05,80,0.00,19.05,80

1632,0.00,19.05,80,0.00,19.05,80

1649,0.00,19.20,80,0.00,19.20,80

1665,0.00,19.20,80,0.00,19.20,80

1684,0.00,19.20,80,0.00,19.20,80

1701,0.00,19.20,80,0.00,19.20,80

1719,0.00,19.20,80,0.00,19.20,80

1732,0.00,19.35,80,0.00,19.35,80

1748,0.00,19.35,80,0.00,19.35,80

1765,0.00,19.35,80,0.00,19.35,80

1784,0.00,19.35,80,0.00,19.35,80

1801,0.00,19.50,80,0.00,19.50,80

1817,0.00,19.50,80,0.00,19.50,80

1833,0.00,19.50,80,0.00,19.50,80

1851,0.00,19.50,80,0.00,19.50,80

1868,0.00,19.50,80,0.00,19.50,80

1883,0.00,19.65,80,0.00,19.65,80

1902,0.00,19.65,80,0.00,19.65,80

1915,0.00,19.65,80,0.00,19.65,80

1934,0.00,19.65,80,0.00,19.65,80

1950,0.00,19.80,80,0.00,19.80,80

1964,0.00,19.80,80,0.00,19.80,80

1982,0.00,19.80,80,0.00,19.80,80

1999,0.00,19.80,80,0.00,19.80,80

2015,0.00,19.80,80,0.00,19.80,80

2034,0.00,19.95,80,0.00,19.95,80

2050,0.00,19.95,80,0.00,19.95,80

2066,0.00,19.95,80,0.00,19.95,80

2085,0.00,19.95,80,0.00,19.95,80

2099,0.00,19.95,80,0.00,19.95,80

2117,0.00,20.10,80,0.00,20.10,80

2133,0.00,20.10,80,0.00,20.10,80

2149,0.00,20.10,80,0.00,20.10,80

2166,0.00,20.10,80,0.00,20.10,80

2183,0.00,20.10,80,0.00,20.10,80

2201,0.00,20.25,80,0.00,20.25,80

2217,0.00,20.25,80,0.00,20.25,80

2233,0.00,20.25,80,0.00,20.25,80

2248,0.00,20.25,80,0.00,20.25,80

2266,0.00,20.40,80,0.00,20.40,80

2285,0.00,20.40,80,0.00,20.40,80

2299,0.00,20.40,80,0.00,20.40,80

2318,0.00,20.40,80,0.00,20.40,80

2332,0.00,20.40,80,0.00,20.40,80

2352,0.00,20.55,80,0.00,20.55,80

2367,0.00,20.55,80,0.00,20.55,80

2383,0.00,20.55,80,0.00,20.55,80

2399,0.00,20.55,80,0.00,20.55,80

2415,0.00,20.70,80,0.00,20.70,80

2433,0.00,20.70,80,0.00,20.70,80

2451,0.00,20.70,80,0.00,20.70,80

2468,0.00,20.70,80,0.00,20.70,80

2484,0.00,20.70,80,0.00,20.70,80

2502,0.00,20.85,80,0.00,20.85,80

2515,0.00,20.85,80,0.00,20.85,80

2533,0.00,20.85,80,0.00,20.85,80

2549,0.00,20.85,80,0.00,20.85,80

2565,0.00,21.00,80,0.00,21.00,80

2585,0.00,21.00,80,0.00,21.00,80

2599,0.00,21.00,80,0.00,21.00,80

2619,0.00,21.00,80,0.78,21.00,80

2632,0.00,21.15,80,0.78,21.00,80

2649,0.00,21.15,80,0.78,13.26,80

2666,0.00,21.15,80,0.78,13.26,80

2684,0.00,21.15,80,0.78,13.26,80

2698,0.00,21.15,80,0.78,13.26,80

2716,0.00,21.30,80,0.78,13.33,80

2734,0.00,21.30,80,0.78,13.33,80

2752,0.00,21.30,80,0.78,13.33,80

2765,0.00,21.30,80,0.78,13.33,80

2783,0.73,21.45,80,0.78,13.33,80

2802,0.73,21.45,80,0.78,13.40,80

