0,6,2.30,80

18,1.45,2.57,80,1.46,2.30,80

35,1.45,2.57,80,1.46,2.30,80

53,1.45,2.57,80,1.46,2.30,80

1534,1.45,2.57,80,1.46,2.�KpA,KiA,KdA,setpointA,FEEDFWDA,KpB,KiB,KdB,setpointB,FEEDFWDB

1551,1.00,0.00,0.00,1.50,80,1.00,0.00,0.00,1.50,80

1568,inputA,outputA,a_adjust,inputB,outputB,b_adjust

1586,0.00,1.50,80,0.00,1.50,80

1604,0.00,1.50,80,0.00,1.50,80

1620,0.00,1.50,80,0.00,1.50,80

1634,0.00,1.50,80,0.00,1.50,80

1651,0.00,1.50,80,0.00,1.50,80

1668,0.00,1.50,80,0.00,1.50,80

1684,0.00,1.50,80,0.00,1.50,80

1702,0.00,1.50,80,0.00,1.50,80

1718,0.00,1.50,80,0.00,1.50,80

1737,0.00,1.50,80,0.00,1.50,80

1751,0.00,1.50,80,0.00,1.50,80

1767,0.00,1.50,80,0.00,1.50,80

1785,0.00,1.50,80,0.00,1.50,80

1801,0.00,1.50,80,0.00,1.50,80

1819,0.00,1.50,80,0.00,1.50,80

1837,0.00,1.50,80,0.00,1.50,80

1853,0.00,1.50,80,0.00,1.50,80

1867,0.00,1.50,80,0.00,1.50,80

1885,0.00,1.50,80,0.00,1.50,80

1900,0.00,1.50,80,0.00,1.50,80

1918,0.00,1.50,80,0.00,1.50,80

1935,0.00,1.50,80,0.00,1.50,80

1952,0.00,1.50,80,0.00,1.50,80

1971,0.00,1.50,80,0.00,1.50,80

1985,0.00,1.50,80,0.00,1.50,80

2004,0.00,1.50,80,0.00,1.50,80

2017,0.00,1.50,80,0.00,1.50,80

2033,0.00,1.50,80,0.00,1.50,80

2050,0.00,1.50,80,0.00,1.50,80

2071,0.00,1.50,80,0.00,1.50,80

2087,0.00,1.50,80,0.00,1.50,80

2102,0.00,1.50,80,0.00,1.50,80

2121,0.00,1.50,80,0.00,1.50,80

2136,0.00,1.50,80,0.00,1.50,80

2153,0.00,1.50,80,0.00,1.50,80

2168,0.00,1.50,80,0.00,1.50,80

2186,0.00,1.50,80,0.00,1.50,80

2201,0.00,1.50,80,0.00,1.50,80

2218,0.00,1.50,80,0.00,1.50,80

2238,0.00,1.50,80,0.00,1.50,80

2252,0.00,1.50,80,0.00,1.50,80

2268,0.00,1.50,80,0.00,1.50,80

2284,0.00,1.50,80,0.00,1.50,80

2301,0.00,1.50,80,0.00,1.50,80

2319,0.00,1.50,80,0.00,1.50,80

2335,0.00,1.50,80,0.00,1.50,80

2353,0.00,1.50,80,0.00,1.50,80

2370,0.00,1.50,80,0.00,1.50,80

2387,0.00,1.50,80,0.00,1.50,80

2402,0.00,1.50,80,0.00,1.50,80

2417,0.00,1.50,80,0.00,1.50,80

2434,0.00,1.50,80,0.00,1.50,80

2452,0.00,1.50,80,0.00,1.50,80

2468,0.00,1.50,80,0.00,1.50,80

2487,0.00,1.50,80,0.00,1.50,80

2501,0.00,1.50,80,0.00,1.50,80

2519,0.00,1.50,80,0.00,1.50,80

2533,0.00,1.50,80,0.00,1.50,80

2550,0.00,1.50,80,0.00,1.50,80

2568,0.00,1.50,80,0.00,1.50,80

2585,0.00,1.50,80,0.00,1.50,80

2603,0.00,1.50,80,0.00,1.50,80

2620,0.00,1.50,80,0.00,1.50,80

2636,0.00,1.50,80,0.00,1.50,80

2654,0.00,1.50,80,0.00,1.50,80

2667,0.00,1.50,80,0.00,1.50,80

2685,0.00,1.50,80,0.00,1.50,80

2701,0.00,1.50,80,0.00,1.50,80

2721,0.00,1.50,80,0.00,1.50,80

2735,0.00,1.50,80,0.00,1.50,80

2751,0.00,1.50,80,0.00,1.50,80

2770,0.00,1.50,80,0.00,1.50,80

2784,0.00,1.50,80,0.00,1.50,80

2801,0.00,1.50,80,0.00,1.50,80

2820,0.00,1.50,80,0.00,1.50,80

2836,0.00,1.50,80,0.00,1.50,80

2852,0.00,1.50,80,0.00,1.50,80

2867,0.00,1.50,80,0.00,1.50,80

2886,0.00,1.50,80,0.00,1.50,80

2902,0.00,1.50,80,0.00,1.50,80

2919,0.00,1.50,80,0.00,1.50,80

2937,0.00,1.50,80,0.00,1.50,80

2951,0.00,1.50,80,0.00,1.50,80

2967,0.00,1.50,80,0.00,1.50,80

2987,0.00,1.50,80,0.00,1.50,80

3002,0.00,1.50,80,0.00,1.50,80

3021,0.00,1.50,80,0.00,1.50,80

3037,0.00,1.50,80,0.00,1.50,80

3051,0.00,1.50,80,0.00,1.50,80

3071,0.00,1.50,80,0.00,1.50,80

3084,0.00,1.50,80,0.00,1.50,80

3103,0.00,1.50,80,0.00,1.50,80

3119,0.00,1.50,80,0.00,1.50,80

3136,0.00,1.50,80,0.00,1.50,80

3153,0.00,1.50,80,0.00,1.50,80

3168,0.00,1.50,80,0.00,1.50,80

3185,0.00,1.50,80,0.00,1.50,80

3204,0.00,1.50,80,0.00,1.50,80

3218,0.00,1.50,80,0.00,1.50,80

3235,0.00,1.50,80,0.00,1.50,80

3250,0.00,1.50,80,0.00,1.50,80

3269,0.00,1.50,80,0.00,1.50,80

3287,0.00,1.50,80,0.00,1.50,80

3301,0.00,1.50,80,0.00,1.50,80

3319,0.00,1.50,80,0.00,1.50,80

3335,0.00,1.50,80,0.00,1.50,80

3352,0.00,1.50,80,0.00,1.50,80

3369,0.00,1.50,80,0.00,1.50,80

3385,0.00,1.50,80,0.00,1.50,80

3402,0.00,1.50,80,0.00,1.50,80

3420,0.00,1.50,80,0.00,1.50,80

3436,0.00,1.50,80,0.00,1.50,80

3452,0.00,1.50,80,0.00,1.50,80

3467,0.00,1.50,80,0.00,1.50,80

3484,0.00,1.50,80,0.00,1.50,80

3502,0.00,1.50,80,0.00,1.50,80

3521,0.00,1.50,80,0.00,1.50,80

3536,0.00,1.50,80,0.00,1.50,80

3550,0.00,1.50,80,0.00,1.50,80

3567,0.00,1.50,80,0.00,1.50,80

3585,0.00,1.50,80,0.00,1.50,80

3603,0.00,1.50,80,0.00,1.50,80

3621,0.00,1.50,80,0.00,1.50,80

3635,0.00,1.50,80,0.00,1.50,80

3653,0.00,1.50,80,0.00,1.50,80

3668,0.00,1.50,80,0.00,1.50,80

3688,0.00,1.50,80,0.00,1.50,80

3700,0.00,1.50,80,0.00,1.50,80

3717,0.00,1.50,80,0.00,1.50,80

3735,0.00,1.50,80,0.00,1.50,80

3754,0.00,1.50,80,0.00,1.50,80

3768,0.00,1.50,80,0.00,1.50,80

3784,0.00,1.50,80,0.00,1.50,80

3803,0.00,1.50,80,0.00,1.50,80

3817,0.00,1.50,80,0.00,1.50,80

3838,0.00,1.50,80,0.00,1.50,80

