0,KpA,KiA,KdA,setpointA,FEEDFWDA,KpB,KiB,KdB,setpointB,FEEDFWDB

15,1.00,0.00,0.00,1.50,60,1.00,0.00,0.00,1.50,60

35,inputA,outputA,a_adjust,inputB,outputB,b_adjust

50,0.00,1.50,60,0.00,1.50,60

64,0.00,1.50,60,0.00,1.50,60

82,0.00,1.50,60,0.00,1.50,60

100,KpA,KiA,KdA,setpointA,FEEDFWDA,KpB,KiB,KdB,setpointB,FEEDFWDB

115,10.00,0.00,0.00,1.50,60,10.00,0.00,0.00,1.50,60

131,inputA,outputA,a_adjust,inputB,outputB,b_adjust

148,KpA,KiA,KdA,setpointA,FEEDFWDA,KpB,KiB,KdB,setpointB,FEEDFWDB

166,10.00,10.00,0.00,1.50,60,10.00,10.00,0.00,1.50,60

182,inputA,outputA,a_adjust,inputB,outputB,b_adjust

198,KpA,KiA,KdA,setpointA,FEEDFWDA,KpB,KiB,KdB,setpointB,FEEDFWDB

215,10.00,10.00,0.00,1.50,60,10.00,10.00,0.00,1.50,60

232,inputA,outputA,a_adjust,inputB,outputB,b_adjust

252,KpA,KiA,KdA,setpointA,FEEDFWDA,KpB,KiB,KdB,setpointB,FEEDFWDB

266,10.00,10.00,0.00,1.50,60,10.00,10.00,0.00,3.00,60

283,inputA,outputA,a_adjust,inputB,outputB,b_adjust

297,0.00,1.50,60,0.00,1.50,60

316,0.00,16.65,60,0.00,31.80,60

334,0.00,16.65,60,0.00,31.80,60

349,0.00,16.65,60,0.00,31.80,60

367,0.00,16.65,60,0.00,31.80,60

382,0.00,16.65,60,0.00,31.80,60

401,0.00,16.80,60,0.00,32.10,60

417,0.00,16.80,60,0.00,32.10,60

431,0.00,16.80,60,0.00,32.10,60

449,0.00,16.80,60,0.00,32.10,60

468,0.00,16.95,60,0.00,32.40,60

484,0.00,16.95,60,0.00,32.40,60

498,0.00,16.95,60,0.00,32.40,60

517,0.00,16.95,60,0.00,32.40,60

532,0.00,16.95,60,0.00,32.40,60

549,0.00,17.10,60,0.00,32.70,60

567,0.00,17.10,60,0.00,32.70,60

583,0.00,17.10,60,0.00,32.70,60

600,0.00,17.10,60,0.00,32.70,60

616,0.00,17.25,60,0.00,32.70,60

635,0.00,17.25,60,0.00,33.00,60

651,0.00,17.25,60,0.00,33.00,60

666,0.00,17.25,60,0.00,33.00,60

682,0.00,17.25,60,0.00,33.00,60

701,0.00,17.40,60,0.00,33.00,60

717,0.00,17.40,60,0.00,33.30,60

732,0.00,17.40,60,0.00,33.30,60

748,0.00,17.40,60,0.00,33.30,60

765,0.00,17.55,60,0.00,33.30,60

781,0.00,17.55,60,0.00,33.30,60

800,0.00,17.55,60,0.00,33.60,60

815,0.00,17.55,60,0.00,33.60,60

834,0.00,17.55,60,0.00,33.60,60

849,0.00,17.70,60,0.00,33.60,60

867,0.00,17.70,60,0.00,33.90,60

881,0.00,17.70,60,0.00,33.90,60

902,0.00,17.70,60,0.00,33.90,60

917,0.00,17.85,60,0.00,33.90,60

932,0.00,17.85,60,0.00,33.90,60

949,0.00,17.85,60,0.00,34.20,60

