0,KpA,KiA,KdA,setpointA,FEEDFWDA,KpB,KiB,KdB,setpointB,FEEDFWDB

13,1.00,0.00,0.00,1.50,80,1.00,0.00,0.00,1.50,80

30,inputA,outputA,a_adjust,inputB,outputB,b_adjust

46,0.00,1.50,80,0.00,1.50,80

64,KpA,KiA,KdA,setpointA,FEEDFWDA,KpB,KiB,KdB,setpointB,FEEDFWDB

82,5.00,0.00,0.00,1.50,80,5.00,0.00,0.00,1.50,80

96,inputA,outputA,a_adjust,inputB,outputB,b_adjust

116,KpA,KiA,KdA,setpointA,FEEDFWDA,KpB,KiB,KdB,setpointB,FEEDFWDB

133,5.00,0.00,0.00,1.50,80,5.00,0.00,0.00,1.50,80

149,inputA,outputA,a_adjust,inputB,outputB,b_adjust

166,KpA,KiA,KdA,setpointA,FEEDFWDA,KpB,KiB,KdB,setpointB,FEEDFWDB

180,5.00,0.00,0.00,1.50,80,5.00,0.00,0.00,1.50,80

197,inputA,outputA,a_adjust,inputB,outputB,b_adjust

213,KpA,KiA,KdA,setpointA,FEEDFWDA,KpB,KiB,KdB,setpointB,FEEDFWDB

232,5.00,0.00,0.00,1.50,80,5.00,0.00,0.00,1.50,80

247,inputA,outputA,a_adjust,inputB,outputB,b_adjust

263,0.00,1.50,80,0.00,1.50,80

281,0.00,9.00,80,0.00,9.00,80

300,0.00,9.00,80,0.00,9.00,80

314,0.00,9.00,80,0.00,9.00,80

330,0.00,9.00,80,0.00,9.00,80

347,0.00,9.00,80,0.00,9.00,80

364,0.00,9.00,80,0.00,9.00,80

383,0.00,9.00,80,0.00,9.00,80

397,0.00,9.00,80,0.00,9.00,80

415,0.00,9.00,80,0.00,9.00,80

430,0.00,9.00,80,0.00,9.00,80

446,0.00,9.00,80,0.00,9.00,80

465,0.00,9.00,80,0.00,9.00,80

481,0.00,9.00,80,0.00,9.00,80

501,0.00,9.00,80,0.00,9.00,80

514,0.00,9.00,80,0.00,9.00,80

531,0.00,9.00,80,0.00,9.00,80

546,0.00,9.00,80,0.00,9.00,80

567,0.00,9.00,80,0.00,9.00,80

582,0.00,9.00,80,0.00,9.00,80

596,0.00,9.00,80,0.00,9.00,80

616,0.00,9.00,80,0.00,9.00,80

630,0.00,9.00,80,0.00,9.00,80

650,0.00,9.00,80,0.00,9.00,80

663,0.00,9.00,80,0.00,9.00,80

680,0.00,9.00,80,0.00,9.00,80

702,0.00,9.00,80,0.00,9.00,80

715,0.00,9.00,80,0.00,9.00,80

731,0.00,9.00,80,0.00,9.00,80

746,0.00,9.00,80,0.00,9.00,80

767,0.00,9.00,80,0.00,9.00,80

781,0.00,9.00,80,0.00,9.00,80

797,0.00,9.00,80,0.00,9.00,80

814,0.00,9.00,80,0.00,9.00,80

830,0.00,9.00,80,0.00,9.00,80

848,0.00,9.00,80,0.00,9.00,80

866,0.00,9.00,80,0.00,9.00,80

882,0.00,9.00,80,0.00,9.00,80

896,0.00,9.00,80,0.00,9.00,80

915,0.00,9.00,80,0.00,9.00,80

933,0.00,9.00,80,0.00,9.00,80

949,0.00,9.00,80,0.00,9.00,80

964,0.00,9.00,80,0.00,9.00,80

981,0.00,9.00,80,0.00,9.00,80

999,0.00,9.00,80,0.00,9.00,80

1013,0.00,9.00,80,0.00,9.00,80

1033,0.00,9.00,80,0.00,9.00,80

1046,0.00,9.00,80,0.00,9.00,80

1063,0.00,9.00,80,0.00,9.00,80

1083,0.00,9.00,80,0.00,9.00,80

1097,0.00,9.00,80,0.00,9.00,80

1115,0.00,9.00,80,0.00,9.00,80

1132,0.00,9.00,80,0.00,9.00,80

1149,0.00,9.00,80,0.00,9.00,80

1163,0.00,9.00,80,0.00,9.00,80

1180,0.00,9.00,80,0.00,9.00,80

1197,0.00,9.00,80,0.00,9.00,80

1214,0.00,9.00,80,0.00,9.00,80

1231,0.00,9.00,80,0.00,9.00,80

1246,0.00,9.00,80,0.00,9.00,80

1266,0.00,9.00,80,0.00,9.00,80

1283,0.00,9.00,80,0.00,9.00,80

1296,0.00,9.00,80,0.00,9.00,80

1313,0.00,9.00,80,0.00,9.00,80

1330,0.00,9.00,80,0.00,9.00,80

1347,0.00,9.00,80,0.00,9.00,80

1363,0.00,9.00,80,0.00,9.00,80

1383,0.00,9.00,80,0.00,9.00,80

1398,0.00,9.00,80,0.00,9.00,80

1413,0.00,9.00,80,0.00,9.00,80

1433,0.00,9.00,80,0.00,9.00,80

1446,0.00,9.00,80,0.00,9.00,80

1464,0.00,9.00,80,0.00,9.00,80

