14,KpA,KiA,KdA,setpointA,FEEDFWDA,KpB,KiB,KdB,setpointB,FEEDFWDB

30,1.00,0.00,0.00,1.50,80,1.00,0.00,0.00,1.50,80

47,inputA,outputA,a_adjust,inputB,outputB,b_adjust

65,KpA,KiA,KdA,setpointA,FEEDFWDA,KpB,KiB,KdB,setpointB,FEEDFWDB

79,20.00,0.00,0.00,1.50,80,20.00,0.00,0.00,1.50,80

96,inputA,outputA,a_adjust,inputB,outputB,b_adjust

116,KpA,KiA,KdA,setpointA,FEEDFWDA,KpB,KiB,KdB,setpointB,FEEDFWDB

133,20.00,0.00,0.00,1.50,80,20.00,0.00,0.00,1.50,80

147,inputA,outputA,a_adjust,inputB,outputB,b_adjust

163,KpA,KiA,KdA,setpointA,FEEDFWDA,KpB,KiB,KdB,setpointB,FEEDFWDB

180,20.00,0.00,0.00,1.50,80,20.00,0.00,0.00,1.50,80

198,inputA,outputA,a_adjust,inputB,outputB,b_adjust

216,KpA,KiA,KdA,setpointA,FEEDFWDA,KpB,KiB,KdB,setpointB,FEEDFWDB

231,20.00,0.00,0.00,1.50,80,20.00,0.00,0.00,1.50,80

250,inputA,outputA,a_adjust,inputB,outputB,b_adjust

264,0.00,1.50,80,0.00,1.50,80

280,0.00,31.50,80,0.00,31.50,80

297,0.00,31.50,80,0.00,31.50,80

314,0.00,31.50,80,0.00,31.50,80

332,0.00,31.50,80,0.00,31.50,80

350,0.00,31.50,80,0.00,31.50,80

366,0.00,31.50,80,0.00,31.50,80

380,0.00,31.50,80,0.00,31.50,80

399,0.00,31.50,80,0.00,31.50,80

414,0.00,31.50,80,0.00,31.50,80

431,0.00,31.50,80,0.00,31.50,80

449,0.00,31.50,80,0.00,31.50,80

463,0.00,31.50,80,0.00,31.50,80

482,0.00,31.50,80,0.00,31.50,80

499,0.00,31.50,80,0.00,31.50,80

516,0.00,31.50,80,0.00,31.50,80

530,0.00,31.50,80,0.00,31.50,80

546,0.00,31.50,80,0.00,31.50,80

563,0.00,31.50,80,0.00,31.50,80

579,0.00,31.50,80,0.00,31.50,80

598,0.00,31.50,80,0.00,31.50,80

616,0.00,31.50,80,0.00,31.50,80

629,0.00,31.50,80,0.00,31.50,80

649,0.00,31.50,80,0.00,31.50,80

664,0.00,31.50,80,0.00,31.50,80

681,0.00,31.50,80,0.00,31.50,80

698,0.00,31.50,80,0.00,31.50,80

715,0.00,31.50,80,0.00,31.50,80

731,0.00,31.50,80,0.00,31.50,80

749,0.00,31.50,80,0.00,31.50,80

763,0.00,31.50,80,0.00,31.50,80

784,0.00,31.50,80,0.00,31.50,80

798,0.00,31.50,80,0.00,31.50,80

817,0.00,31.50,80,0.00,31.50,80

831,0.00,31.50,80,0.00,31.50,80

849,0.00,31.50,80,0.00,31.50,80

865,0.00,31.50,80,0.00,31.50,80

880,0.00,31.50,80,0.00,31.50,80

900,0.00,31.50,80,0.00,31.50,80

915,0.00,31.50,80,0.00,31.50,80

931,0.00,31.50,80,0.00,31.50,80

946,0.00,31.50,80,0.00,31.50,80

964,0.00,31.50,80,0.00,31.50,80

981,0.00,31.50,80,0.00,31.50,80

999,0.00,31.50,80,0.00,31.50,80

1015,0.00,31.50,80,0.00,31.50,80

1033,0.00,31.50,80,0.00,31.50,80

1049,0.00,31.50,80,0.00,31.50,80

1066,0.00,31.50,80,0.00,31.50,80

1082,0.00,31.50,80,0.00,31.50,80

1097,0.00,31.50,80,0.00,31.50,80

1114,0.00,31.50,80,0.00,31.50,80

1132,0.00,31.50,80,0.00,31.50,80

1146,0.00,31.50,80,0.00,31.50,80

1166,0.00,31.50,80,0.00,31.50,80

1183,0.00,31.50,80,0.00,31.50,80

1200,0.00,31.50,80,0.00,31.50,80

1214,0.00,31.50,80,0.00,31.50,80

1230,0.00,31.50,80,0.00,31.50,80

1250,0.00,31.50,80,0.00,31.50,80

1264,0.00,31.50,80,0.00,31.50,80

1283,0.00,31.50,80,0.00,31.50,80

1297,0.00,31.50,80,0.00,31.50,80

1313,0.00,31.50,80,0.00,31.50,80

1331,0.00,31.50,80,0.00,31.50,80

1349,0.00,31.50,80,0.00,31.50,80

1366,0.00,31.50,80,0.00,31.50,80

1382,0.00,31.50,80,0.00,31.50,80

1400,0.00,31.50,80,0.00,31.50,80

1413,0.00,31.50,80,0.00,31.50,80

1430,0.00,31.50,80,0.00,31.50,80

1449,0.00,31.50,80,0.00,31.50,80

1464,0.00,31.50,80,0.00,31.50,80

1482,0.00,31.50,80,0.00,31.50,80

1496,0.00,31.50,80,0.00,31.50,80

1517,0.00,31.50,80,0.00,31.50,80

1532,0.00,31.50,80,0.00,31.50,80

1550,0.00,31.50,80,0.00,31.50,80

1563,0.00,31.50,80,0.00,31.50,80

1582,0.00,31.50,80,0.00,31.50,80

1596,0.00,31.50,80,0.00,31.50,80

1613,0.00,31.50,80,0.00,31.50,80

1632,0.00,31.50,80,0.00,31.50,80

1649,0.00,31.50,80,0.00,31.50,80

1666,0.00,31.50,80,0.00,31.50,80

1680,0.00,31.50,80,0.00,31.50,80

1696,0.00,31.50,80,0.00,31.50,80

1714,0.00,31.50,80,0.00,31.50,80

1734,0.00,31.50,80,0.00,31.50,80

1748,0.00,31.50,80,0.00,31.50,80

1764,0.00,31.50,80,0.00,31.50,80

1782,0.00,31.50,80,0.00,31.50,80

1799,0.00,31.50,80,0.00,31.50,80

1816,0.00,31.50,80,0.00,31.50,80

1831,0.00,31.50,80,0.00,31.50,80

1846,0.00,31.50,80,0.00,31.50,80

1864,0.00,31.50,80,0.00,31.50,80

1881,0.00,31.50,80,0.00,31.50,80

1900,0.00,31.50,80,0.00,31.50,80

1913,0.00,31.50,80,0.00,31.50,80

1933,0.00,31.50,80,0.00,31.50,80

1947,0.00,31.50,80,0.00,31.50,80

1963,0.00,31.50,80,0.00,31.50,80

1984,0.00,31.50,80,0.00,31.50,80

1999,0.00,31.50,80,0.00,31.50,80

2014,0.00,31.50,80,0.00,31.50,80

2033,0.00,31.50,80,0.00,31.50,80

2049,0.00,31.50,80,0.00,31.50,80

2064,0.00,31.50,80,0.00,31.50,80

2082,0.00,31.50,80,0.00,31.50,80

2098,0.00,31.50,80,0.00,31.50,80

2115,0.00,31.50,80,0.00,31.50,80

2131,0.00,31.50,80,0.00,31.50,80

2148,0.00,31.50,80,0.00,31.50,80

2166,0.00,31.50,80,0.00,31.50,80

2180,0.00,31.50,80,0.00,31.50,80

2201,0.00,31.50,80,0.00,31.50,80

2216,0.00,31.50,80,0.00,31.50,80

2232,0.00,31.50,80,0.00,31.50,80

2248,0.00,31.50,80,0.00,31.50,80

2266,0.00,31.50,80,0.00,31.50,80

2282,0.00,31.50,80,0.00,31.50,80

2297,0.00,31.50,80,0.00,31.50,80

2317,0.00,31.50,80,0.00,31.50,80

2331,0.00,31.50,80,0.00,31.50,80

2347,0.00,31.50,80,0.00,31.50,80

2364,0.00,31.50,80,0.00,31.50,80

2381,0.00,31.50,80,0.00,31.50,80

2397,0.00,31.50,80,0.00,31.50,80

2414,0.00,31.50,80,0.00,31.50,80

2432,0.00,31.50,80,0.00,31.50,80

2451,0.00,31.50,80,0.00,31.50,80

2466,0.00,31.50,80,0.00,31.50,80

2480,0.00,31.50,80,0.00,31.50,80

2500,0.00,31.50,80,0.00,31.50,80

2514,0.00,31.50,80,0.00,31.50,80

2531,0.00,31.50,80,0.00,31.50,80

2550,0.00,31.50,80,0.00,31.50,80

2564,0.00,31.50,80,0.00,31.50,80

2583,0.00,31.50,80,0.00,31.50,80

2601,0.00,31.50,80,0.00,31.50,80

2616,0.00,31.50,80,0.00,31.50,80

2631,0.00,31.50,80,0.00,31.50,80

2647,0.00,31.50,80,0.00,31.50,80

2665,0.00,31.50,80,0.00,31.50,80

2684,0.00,31.50,80,0.00,31.50,80

2699,0.00,31.50,80,0.00,31.50,80

