0,KpA,KiA,KdA,setpointA,FEEDFWDA,KpB,KiB,KdB,setpointB,FEEDFWDB

13,1.00,0.00,0.00,1.50,80,1.00,0.00,0.00,1.50,80

34,inputA,outputA,a_adjust,inputB,outputB,b_adjust

46,0.00,1.50,80,0.00,1.50,80

66,KpA,KiA,KdA,setpointA,FEEDFWDA,KpB,KiB,KdB,setpointB,FEEDFWDB

80,50.00,0.00,0.00,1.50,80,50.00,0.00,0.00,1.50,80

100,inputA,outputA,a_adjust,inputB,outputB,b_adjust

115,KpA,KiA,KdA,setpointA,FEEDFWDA,KpB,KiB,KdB,setpointB,FEEDFWDB

132,50.00,0.00,0.00,1.50,80,50.00,0.00,0.00,1.50,80

147,inputA,outputA,a_adjust,inputB,outputB,b_adjust

167,KpA,KiA,KdA,setpointA,FEEDFWDA,KpB,KiB,KdB,setpointB,FEEDFWDB

181,50.00,0.00,0.00,1.50,80,50.00,0.00,0.00,1.50,80

196,inputA,outputA,a_adjust,inputB,outputB,b_adjust

216,KpA,KiA,KdA,setpointA,FEEDFWDA,KpB,KiB,KdB,setpointB,FEEDFWDB

231,50.00,0.00,0.00,1.50,80,50.00,0.00,0.00,1.50,80

246,inputA,outputA,a_adjust,inputB,outputB,b_adjust

266,0.00,1.50,80,0.00,1.50,80

283,0.00,76.50,80,0.00,76.50,80

298,0.00,76.50,80,0.00,76.50,80

314,0.00,76.50,80,0.00,76.50,80

332,0.00,76.50,80,0.00,76.50,80

347,0.00,76.50,80,0.00,76.50,80

367,0.00,76.50,80,0.00,76.50,80

382,0.00,76.50,80,0.00,76.50,80

396,0.00,76.50,80,0.00,76.50,80

416,0.00,76.50,80,0.00,76.50,80

431,0.00,76.50,80,0.00,76.50,80

449,0.00,76.50,80,0.00,76.50,80

464,0.00,76.50,80,0.00,76.50,80

483,0.00,76.50,80,0.00,76.50,80

496,0.00,76.50,80,0.00,76.50,80

514,0.00,76.50,80,0.00,76.50,80

534,0.00,76.50,80,0.00,76.50,80

550,0.00,76.50,80,0.00,76.50,80

566,0.00,76.50,80,0.00,76.50,80

583,0.00,76.50,80,0.00,76.50,80

598,0.00,76.50,80,0.00,76.50,80

615,0.00,76.50,80,0.00,76.50,80

632,0.00,76.50,80,0.00,76.50,80

646,0.00,76.50,80,0.00,76.50,80

665,0.00,76.50,80,0.00,76.50,80

681,0.00,76.50,80,0.00,76.50,80

698,0.00,76.50,80,0.00,76.50,80

715,0.00,76.50,80,0.00,76.50,80

733,0.00,76.50,80,0.00,76.50,80

746,0.00,76.50,80,0.00,76.50,80

765,0.00,76.50,80,0.00,76.50,80

779,0.00,76.50,80,0.00,76.50,80

800,0.00,76.50,80,0.00,76.50,80

816,0.00,76.50,80,0.00,76.50,80

831,0.00,76.50,80,0.00,76.50,80

846,0.00,76.50,80,0.00,76.50,80

863,0.00,76.50,80,0.00,76.50,80

884,0.00,76.50,80,0.00,76.50,80

897,0.00,76.50,80,0.00,76.50,80

915,0.00,76.50,80,0.00,76.50,80

930,0.00,76.50,80,0.00,76.50,80

946,0.00,76.50,80,0.00,76.50,80

963,0.00,76.50,80,0.00,76.50,80

982,0.00,76.50,80,0.00,76.50,80

997,0.00,76.50,80,0.00,76.50,80

1014,0.00,76.50,80,0.00,76.50,80

1033,0.00,76.50,80,0.00,76.50,80

1050,0.00,76.50,80,0.00,76.50,80

1064,0.00,76.50,80,0.00,76.50,80

1082,0.00,76.50,80,0.00,76.50,80

1098,0.00,76.50,80,0.00,76.50,80

1114,0.00,76.50,80,0.00,76.50,80

1133,0.00,76.50,80,0.00,76.50,80

1146,0.00,76.50,80,0.00,76.50,80

1165,1.64,76.50,80,0.00,76.50,80

1180,1.64,0.00,80,0.00,76.50,80

1197,1.64,0.00,80,0.00,76.50,80

1215,1.64,0.00,80,0.00,76.50,80

1230,1.64,0.00,80,0.00,76.50,80

1249,1.64,0.00,80,0.00,76.50,80

1263,1.64,0.00,80,0.00,76.50,80

1280,1.64,0.00,80,0.00,76.50,80

1300,1.64,0.00,80,0.00,76.50,80

1313,1.64,0.00,80,0.00,76.50,80

1334,1.64,0.00,80,0.00,76.50,80

1347,1.64,0.00,80,0.00,76.50,80

1365,1.64,0.00,80,1.41,76.50,80

1384,1.64,0.00,80,1.41,76.50,80

1396,1.64,0.00,80,1.41,76.50,80

1414,1.64,0.00,80,1.41,76.50,80

1430,1.64,0.00,80,1.41,76.50,80

1447,1.64,0.00,80,1.41,5.83,80

1463,1.64,0.00,80,1.41,5.83,80

