17,KpA,KiA,KdA,setpointA,FEEDFWDA,KpB,KiB,KdB,setpointB,FEEDFWDB

33,1.00,0.00,0.00,1.50,60,1.00,0.00,0.00,1.50,60

47,inputA,outputA,a_adjust,inputB,outputB,b_adjust

67,0.00,1.50,60,0.00,1.50,60

82,KpA,KiA,KdA,setpointA,FEEDFWDA,KpB,KiB,KdB,setpointB,FEEDFWDB

99,10.00,0.00,0.00,1.50,60,10.00,0.00,0.00,1.50,60

115,inputA,outputA,a_adjust,inputB,outputB,b_adjust

132,KpA,KiA,KdA,setpointA,FEEDFWDA,KpB,KiB,KdB,setpointB,FEEDFWDB

149,10.00,25.00,0.00,1.50,60,10.00,25.00,0.00,1.50,60

164,inputA,outputA,a_adjust,inputB,outputB,b_adjust

183,KpA,KiA,KdA,setpointA,FEEDFWDA,KpB,KiB,KdB,setpointB,FEEDFWDB

200,10.00,25.00,0.00,1.50,60,10.00,25.00,0.00,1.50,60

215,inputA,outputA,a_adjust,inputB,outputB,b_adjust

230,KpA,KiA,KdA,setpointA,FEEDFWDA,KpB,KiB,KdB,setpointB,FEEDFWDB

247,10.00,25.00,0.00,2.00,60,10.00,25.00,0.00,2.00,60

267,inputA,outputA,a_adjust,inputB,outputB,b_adjust

283,0.00,1.50,60,0.00,1.50,60

298,0.00,22.00,60,0.00,22.00,60

314,0.00,22.00,60,0.00,22.00,60

334,0.00,22.00,60,0.00,22.00,60

348,0.00,22.00,60,0.00,22.00,60

367,0.00,22.00,60,0.00,22.00,60

382,0.00,22.50,60,0.00,22.50,60

399,0.00,22.50,60,0.00,22.50,60

417,0.00,22.50,60,0.00,22.50,60

430,0.00,22.50,60,0.00,22.50,60

451,0.00,23.00,60,0.00,23.00,60

465,0.00,23.00,60,0.00,23.00,60

482,0.00,23.00,60,0.00,23.00,60

497,0.00,23.00,60,0.00,23.00,60

517,0.00,23.50,60,0.00,23.00,60

532,0.00,23.50,60,0.00,23.50,60

549,0.00,23.50,60,0.00,23.50,60

566,0.00,23.50,60,0.00,23.50,60

582,0.00,23.50,60,0.00,23.50,60

598,0.00,24.00,60,0.00,24.00,60

616,0.00,24.00,60,0.00,24.00,60

631,0.00,24.00,60,0.00,24.00,60

654,0.00,24.00,60,0.00,24.00,60

664,0.00,24.50,60,0.00,24.00,60

684,0.00,24.50,60,0.00,24.50,60

697,0.00,24.50,60,0.00,24.50,60

717,0.00,24.50,60,0.00,24.50,60

733,0.00,25.00,60,0.00,24.50,60

746,0.00,25.00,60,0.00,25.00,60

767,0.00,25.00,60,0.00,25.00,60

782,0.00,25.00,60,0.00,25.00,60

797,0.00,25.00,60,0.00,25.00,60

817,0.00,25.50,60,0.00,25.50,60

832,0.00,25.50,60,0.00,25.50,60

847,0.00,25.50,60,0.00,25.50,60

863,0.00,25.50,60,0.00,25.50,60

883,0.00,25.50,60,0.00,25.50,60

897,0.00,26.00,60,0.00,26.00,60

917,0.00,26.00,60,0.00,26.00,60

930,0.00,26.00,60,0.00,26.00,60

947,0.00,26.00,60,0.00,26.00,60

963,0.00,26.50,60,0.00,26.50,60

980,0.00,26.50,60,0.00,26.50,60

997,0.00,26.50,60,0.00,26.50,60

1017,0.00,26.50,60,0.00,26.50,60

1031,0.00,27.00,60,0.00,27.00,60

1047,0.00,27.00,60,0.00,27.00,60

1067,0.00,27.00,60,0.00,27.00,60

1080,0.00,27.00,60,0.00,27.00,60

1097,0.00,27.00,60,0.00,27.00,60

1116,0.00,27.50,60,0.00,27.50,60

1132,0.00,27.50,60,0.00,27.50,60

1147,0.00,27.50,60,0.00,27.50,60

1163,0.00,27.50,60,0.00,27.50,60

1180,0.00,28.00,60,0.00,27.50,60

1199,0.00,28.00,60,0.00,28.00,60

1217,0.00,28.00,60,0.00,28.00,60

1232,0.00,28.00,60,0.00,28.00,60

1249,0.00,28.00,60,0.00,28.00,60

