16,KpA,KiA,KdA,setpointA,FEEDFWDA,KpB,KiB,KdB,setpointB,FEEDFWDB

33,1.00,0.00,0.00,1.50,80,1.00,0.00,0.00,1.50,80

50,inputA,outputA,a_adjust,inputB,outputB,b_adjust

67,KpA,KiA,KdA,setpointA,FEEDFWDA,KpB,KiB,KdB,setpointB,FEEDFWDB

83,40.00,0.00,0.00,1.50,80,40.00,0.00,0.00,1.50,80

99,inputA,outputA,a_adjust,inputB,outputB,b_adjust

116,KpA,KiA,KdA,setpointA,FEEDFWDA,KpB,KiB,KdB,setpointB,FEEDFWDB

134,40.00,0.00,0.00,1.50,80,40.00,0.00,0.00,1.50,80

149,inputA,outputA,a_adjust,inputB,outputB,b_adjust

167,KpA,KiA,KdA,setpointA,FEEDFWDA,KpB,KiB,KdB,setpointB,FEEDFWDB

183,40.00,0.00,0.00,1.50,80,40.00,0.00,0.00,1.50,80

201,inputA,outputA,a_adjust,inputB,outputB,b_adjust

216,KpA,KiA,KdA,setpointA,FEEDFWDA,KpB,KiB,KdB,setpointB,FEEDFWDB

232,40.00,0.00,0.00,1.50,80,40.00,0.00,0.00,1.50,80

250,inputA,outputA,a_adjust,inputB,outputB,b_adjust

267,0.00,1.50,80,0.00,1.50,80

283,0.00,61.50,80,0.00,61.50,80

300,0.00,61.50,80,0.00,61.50,80

317,0.00,61.50,80,0.00,61.50,80

333,0.00,61.50,80,0.00,61.50,80

347,0.00,61.50,80,0.00,61.50,80

365,0.00,61.50,80,0.00,61.50,80

383,0.00,61.50,80,0.00,61.50,80

400,0.00,61.50,80,0.00,61.50,80

417,0.00,61.50,80,0.00,61.50,80

433,0.00,61.50,80,0.00,61.50,80

449,0.00,61.50,80,0.00,61.50,80

466,0.00,61.50,80,0.00,61.50,80

483,0.00,61.50,80,0.00,61.50,80

500,0.00,61.50,80,0.00,61.50,80

516,0.00,61.50,80,0.00,61.50,80

532,0.00,61.50,80,0.00,61.50,80

550,0.00,61.50,80,0.00,61.50,80

567,0.00,61.50,80,0.00,61.50,80

583,0.00,61.50,80,0.00,61.50,80

600,0.00,61.50,80,0.00,61.50,80

616,0.00,61.50,80,0.00,61.50,80

634,0.00,61.50,80,0.00,61.50,80

650,0.00,61.50,80,0.00,61.50,80

666,0.00,61.50,80,0.00,61.50,80

682,0.00,61.50,80,0.00,61.50,80

701,0.00,61.50,80,0.00,61.50,80

717,0.00,61.50,80,0.00,61.50,80

732,0.00,61.50,80,0.00,61.50,80

750,0.00,61.50,80,0.00,61.50,80

767,0.00,61.50,80,0.00,61.50,80

782,0.00,61.50,80,0.00,61.50,80

799,0.00,61.50,80,0.00,61.50,80

817,0.00,61.50,80,0.00,61.50,80

834,0.00,61.50,80,0.00,61.50,80

849,0.00,61.50,80,0.00,61.50,80

866,0.00,61.50,80,0.00,61.50,80

883,0.00,61.50,80,0.00,61.50,80

899,0.00,61.50,80,0.00,61.50,80

915,0.00,61.50,80,0.00,61.50,80

932,0.00,61.50,80,0.00,61.50,80

947,0.00,61.50,80,0.00,61.50,80

967,0.00,61.50,80,0.00,61.50,80

983,0.00,61.50,80,0.00,61.50,80

1000,0.00,61.50,80,0.00,61.50,80

1016,0.00,61.50,80,0.00,61.50,80

1034,0.00,61.50,80,0.00,61.50,80

1049,0.00,61.50,80,0.00,61.50,80

1066,0.00,61.50,80,0.00,61.50,80

1084,0.00,61.50,80,0.00,61.50,80

1099,0.00,61.50,80,0.00,61.50,80

1115,0.00,61.50,80,0.00,61.50,80

1135,0.00,61.50,80,0.00,61.50,80

1149,0.00,61.50,80,0.00,61.50,80

1166,0.00,61.50,80,0.00,61.50,80

1182,0.00,61.50,80,0.00,61.50,80

1200,0.00,61.50,80,0.00,61.50,80

1216,0.00,61.50,80,0.00,61.50,80

1232,0.00,61.50,80,0.00,61.50,80

1250,0.00,61.50,80,0.00,61.50,80

1266,1.54,61.50,80,0.00,61.50,80

1283,1.54,0.00,80,0.00,61.50,80

1299,1.54,0.00,80,0.00,61.50,80

1316,1.54,0.00,80,0.00,61.50,80

1333,1.54,0.00,80,0.00,61.50,80

1351,1.54,0.00,80,0.00,61.50,80

1367,1.54,0.00,80,0.00,61.50,80

1383,1.54,0.00,80,0.00,61.50,80

1399,1.54,0.00,80,0.00,61.50,80

1417,1.54,0.00,80,0.00,61.50,80

1433,1.54,0.00,80,0.00,61.50,80

1449,1.54,0.00,80,0.00,61.50,80

1467,1.54,0.00,80,0.00,61.50,80

1483,1.54,0.00,80,0.00,61.50,80

1499,1.54,0.00,80,0.00,61.50,80

